kind,hr,con,ra,dec,x,y,z,x2,y2,z2,size,r,g,b
star,130,Cas,8.2500,62.9317,0.0653,-0.5313,0.8446,0.0000,0.0000,0.0000,339.7489,0.2141,0.2196,0.2333
star,153,Cas,9.2429,53.8969,0.0946,-0.3930,0.9146,0.0000,0.0000,0.0000,381.2045,0.2536,0.2666,0.2938
star,154,And,9.2204,33.7194,0.1333,-0.0530,0.9897,0.0000,0.0000,0.0000,324.4577,0.1856,0.1943,0.2128
star,163,And,9.6387,29.3117,0.1460,0.0231,0.9890,0.0000,0.0000,0.0000,323.7114,0.2118,0.2013,0.1926
star,165,And,9.8321,30.8608,0.1466,-0.0041,0.9892,0.0000,0.0000,0.0000,417.0211,0.3516,0.3203,0.2952
star,168,Cas,10.1271,56.5372,0.0970,-0.4355,0.8949,0.0000,0.0000,0.0000,529.8562,0.5675,0.5226,0.4864
star,179,Cas,10.5162,50.5125,0.1161,-0.3395,0.9334,0.0000,0.0000,0.0000,293.1960,0.1524,0.1592,0.1738
star,180,Phe,10.3317,-46.0850,0.1244,0.9689,0.2139,0.0000,0.0000,0.0000,307.7216,0.1914,0.1799,0.1706
star,184,Cas,10.8671,47.0247,0.1285,-0.2823,0.9507,0.0000,0.0000,0.0000,283.8952,0.1507,0.1541,0.1629
star,188,Cet,10.8975,-17.9867,0.1798,0.7457,0.6415,0.0000,0.0000,0.0000,553.5515,0.6194,0.5791,0.5465
star,191,Phe,10.8383,-57.4631,0.1011,0.9947,0.0186,0.0000,0.0000,0.0000,324.4577,0.1902,0.1972,0.2128
star,193,Cas,11.1812,48.2844,0.1290,-0.3036,0.9440,0.0000,0.0000,0.0000,311.2849,0.1730,0.1802,0.1959
star,194,Cet,11.0475,-10.6094,0.1883,0.6547,0.7321,0.0000,0.0000,0.0000,295.9089,0.1770,0.1656,0.1565
star,215,And,11.8346,24.2672,0.1870,0.1073,0.9765,0.0000,0.0000,0.0000,347.6626,0.2443,0.2261,0.2114
star,219,Cas,12.2750,57.8158,0.1132,-0.4574,0.8820,0.0000,0.0000,0.0000,401.0126,0.3251,0.3204,0.3150
star,223,Cas,12.2088,50.9683,0.1332,-0.3488,0.9277,0.0000,0.0000,0.0000,287.1825,0.1462,0.1527,0.1667
star,224,Psc,12.1708,7.5850,0.2090,0.3859,0.8986,0.0000,0.0000,0.0000,319.2699,0.2061,0.1841,0.1661
star,226,And,12.4533,41.0789,0.1626,-0.1841,0.9694,0.0000,0.0000,0.0000,312.0025,0.1714,0.1795,0.1968
star,244,,13.2671,61.1242,0.1108,-0.5085,0.8539,0.0000,0.0000,0.0000,291.8489,0.1722,0.1706,0.1684
star,248,Cet,13.2521,-1.1442,0.2292,0.5183,0.8239,0.0000,0.0000,0.0000,295.2283,0.1762,0.1564,0.1403
star,253,Cas,13.7504,58.9728,0.1225,-0.4767,0.8705,0.0000,0.0000,0.0000,291.1776,0.1714,0.1572,0.1458
star,264,Cas,14.1771,60.7167,0.1198,-0.5034,0.8557,0.0000,0.0000,0.0000,501.3696,0.4425,0.4636,0.5082
star,265,Cas,14.1658,59.1811,0.1254,-0.4803,0.8681,0.0000,0.0000,0.0000,304.9004,0.1879,0.1768,0.1678
star,269,And,14.1883,38.4994,0.1918,-0.1428,0.9710,0.0000,0.0000,0.0000,363.2102,0.2442,0.2507,0.2667
star,271,And,14.3017,23.4175,0.2267,0.1173,0.9669,0.0000,0.0000,0.0000,320.0059,0.2070,0.1952,0.1856
star,280,Scl,14.6517,-29.3575,0.2205,0.8545,0.4703,0.0000,0.0000,0.0000,328.2147,0.1893,0.1985,0.2178
star,285,,17.1863,86.2569,0.0193,-0.8232,0.5674,0.0000,0.0000,0.0000,332.7806,0.2239,0.2053,0.1904
star,294,Psc,15.7358,7.8900,0.2686,0.3734,0.8879,0.0000,0.0000,0.0000,330.4898,0.2208,0.2077,0.1971
star,322,Phe,16.5208,-46.7186,0.1950,0.9625,0.1885,0.0000,0.0000,0.0000,413.1978,0.3451,0.3272,0.3125
star,334,Cet,17.1475,-10.1822,0.2902,0.6359,0.7151,0.0000,0.0000,0.0000,400.0903,0.3236,0.2982,0.2779
star,335,And,17.3758,47.2419,0.2027,-0.2957,0.9335,0.0000,0.0000,0.0000,332.7806,0.1977,0.2059,0.2239
star,337,And,17.4329,35.6206,0.2435,-0.0998,0.9647,0.0000,0.0000,0.0000,551.0082,0.6138,0.5445,0.4878
star,338,Phe,17.0963,-55.2458,0.1676,0.9849,0.0439,0.0000,0.0000,0.0000,359.0526,0.2297,0.2395,0.2606
star,343,Cas,17.7758,55.1497,0.1745,-0.4232,0.8891,0.0000,0.0000,0.0000,326.7067,0.1992,0.2038,0.2158
star,351,Psc,17.8633,21.0347,0.2863,0.1499,0.9463,0.0000,0.0000,0.0000,302.8015,0.1854,0.1731,0.1632
star,352,Psc,17.9150,30.0897,0.2662,-0.0057,0.9639,0.0000,0.0000,0.0000,313.4426,0.1986,0.1843,0.1729
star,360,Psc,18.4371,24.5836,0.2876,0.0877,0.9537,0.0000,0.0000,0.0000,303.4995,0.1862,0.1737,0.1636
star,370,Phe,18.7963,-45.5314,0.2257,0.9533,0.2009,0.0000,0.0000,0.0000,282.5908,0.1614,0.1589,0.1561
star,377,Tuc,18.9421,-68.8761,0.1170,0.9751,-0.1882,0.0000,0.0000,0.0000,289.1732,0.1690,0.1689,0.1676
star,382,Cas,20.0204,58.2317,0.1802,-0.4740,0.8619,0.0000,0.0000,0.0000,281.2924,0.1600,0.1554,0.1513
star,383,Psc,19.8667,27.2642,0.3021,0.0379,0.9525,0.0000,0.0000,0.0000,295.9089,0.1591,0.1645,0.1770
star,390,And,20.5850,45.5289,0.2463,-0.2739,0.9297,0.0000,0.0000,0.0000,287.8446,0.1675,0.1556,0.1461
star,399,Cas,21.4833,68.1300,0.1364,-0.6170,0.7751,0.0000,0.0000,0.0000,297.2748,0.1786,0.1665,0.1567
star,402,Cet,21.0058,-8.1833,0.3548,0.5979,0.7187,0.0000,0.0000,0.0000,386.5076,0.3020,0.2811,0.2644
star,403,Cas,21.4542,60.2353,0.1816,-0.5061,0.8431,0.0000,0.0000,0.0000,477.7031,0.4225,0.4336,0.4613
star,412,Cet,21.4050,-14.5989,0.3532,0.6801,0.6425,0.0000,0.0000,0.0000,286.5220,0.1660,0.1519,0.1406
star,417,And,21.9142,45.4067,0.2620,-0.2749,0.9251,0.0000,0.0000,0.0000,291.1776,0.1700,0.1687,0.1714
star,424,UMi,37.9529,89.2642,0.0079,-0.8519,0.5237,0.0000,0.0000,0.0000,556.1066,0.6252,0.6137,0.6018
star,429,Phe,22.0913,-43.3183,0.2736,0.9353,0.2245,0.0000,0.0000,0.0000,403.7923,0.3296,0.2927,0.2624
star,434,Psc,22.5463,6.1439,0.3812,0.3812,0.8422,0.0000,0.0000,0.0000,290.5080,0.1706,0.1542,0.1409
star,437,Psc,22.8708,15.3458,0.3748,0.2308,0.8979,0.0000,0.0000,0.0000,384.7318,0.2992,0.2812,0.2666
star,440,Phe,22.8129,-49.0728,0.2540,0.9586,0.1285,0.0000,0.0000,0.0000,356.5809,0.2570,0.2410,0.2281
star,442,Cas,23.4829,59.2319,0.2038,-0.4949,0.8447,0.0000,0.0000,0.0000,299.3354,0.1811,0.1697,0.1604
star,458,And,24.1992,41.4056,0.3075,-0.2146,0.9271,0.0000,0.0000,0.0000,345.2694,0.2410,0.2384,0.2351
star,464,And,24.4983,48.6283,0.2741,-0.3335,0.9020,0.0000,0.0000,0.0000,389.1867,0.3062,0.2790,0.2571
star,469,And,24.8375,44.3861,0.3002,-0.2656,0.9162,0.0000,0.0000,0.0000,281.2924,0.1600,0.1516,0.1448
star,472,Eri,24.4288,-57.2367,0.2238,0.9746,-0.0108,0.0000,0.0000,0.0000,796.4491,1.1147,1.1686,1.2823
star,477,And,25.1450,40.5769,0.3227,-0.2034,0.9244,0.0000,0.0000,0.0000,283.8952,0.1434,0.1496,0.1629
star,483,,25.4467,42.6136,0.3162,-0.2381,0.9183,0.0000,0.0000,0.0000,283.2422,0.1622,0.1588,0.1554
star,489,Psc,25.3579,5.4875,0.4263,0.3813,0.8203,0.0000,0.0000,0.0000,318.5356,0.2051,0.1855,0.1697
star,496,Per,25.9150,50.6886,0.2769,-0.3697,0.8869,0.0000,0.0000,0.0000,346.8630,0.2159,0.2244,0.2432
star,500,,25.6812,-3.6903,0.4325,0.5184,0.7377,0.0000,0.0000,0.0000,280.6455,0.1592,0.1437,0.1312
star,509,Cet,26.0171,-15.9375,0.4218,0.6804,0.5993,0.0000,0.0000,0.0000,395.5105,0.3162,0.3058,0.2966
star,510,Psc,26.3483,9.1578,0.4382,0.3192,0.8403,0.0000,0.0000,0.0000,332.0152,0.2228,0.2096,0.1989
star,531,Cet,27.3962,-10.6864,0.4522,0.6083,0.6523,0.0000,0.0000,0.0000,302.1051,0.1772,0.1782,0.1845
star,539,Cet,27.8650,-10.3350,0.4598,0.6017,0.6531,0.0000,0.0000,0.0000,375.1095,0.2844,0.2627,0.2452
star,542,Cas,28.5987,63.6700,0.2123,-0.5677,0.7954,0.0000,0.0000,0.0000,406.5913,0.2910,0.3049,0.3342
star,544,Tri,28.2704,29.5789,0.4119,-0.0286,0.9108,0.0000,0.0000,0.0000,403.7923,0.3296,0.3284,0.3253
star,545,Ari,28.3825,19.2958,0.4487,0.1444,0.8820,0.0000,0.0000,0.0000,291.1776,0.1714,0.1682,0.1650
star,546,Ari,28.3825,19.2936,0.4487,0.1445,0.8820,0.0000,0.0000,0.0000,296.5910,0.1578,0.1641,0.1778
star,548,Cas,29.0000,68.6853,0.1762,-0.6348,0.7523,0.0000,0.0000,0.0000,280.6455,0.1399,0.1460,0.1592
star,549,Psc,28.3887,3.1875,0.4747,0.4047,0.7816,0.0000,0.0000,0.0000,305.6033,0.1888,0.1780,0.1692
star,553,Ari,28.6600,20.8081,0.4483,0.1180,0.8861,0.0000,0.0000,0.0000,482.1232,0.4303,0.4416,0.4699
star,555,Phe,28.4117,-46.3025,0.3287,0.9327,0.1485,0.0000,0.0000,0.0000,320.7436,0.2080,0.1843,0.1650
star,565,Cet,29.1675,-22.5269,0.4502,0.7438,0.4940,0.0000,0.0000,0.0000,289.8398,0.1698,0.1528,0.1389
star,566,Eri,28.9896,-51.6089,0.3010,0.9516,0.0619,0.0000,0.0000,0.0000,377.7096,0.2884,0.2746,0.2632
star,569,Ari,29.4821,23.5961,0.4510,0.0677,0.8899,0.0000,0.0000,0.0000,293.8719,0.1654,0.1673,0.1746
star,570,Hyi,28.7337,-67.6472,0.1828,0.9645,-0.1905,0.0000,0.0000,0.0000,300.7170,0.1828,0.1722,0.1635
star,574,,29.2917,-47.3850,0.3313,0.9349,0.1271,0.0000,0.0000,0.0000,291.1776,0.1714,0.1627,0.1555
star,575,Cas,30.4892,70.9069,0.1660,-0.6648,0.7283,0.0000,0.0000,0.0000,311.2849,0.1805,0.1848,0.1959
star,580,Cas,30.8587,72.4214,0.1549,-0.6836,0.7132,0.0000,0.0000,0.0000,354.1262,0.2262,0.2347,0.2535
star,585,Cet,30.0013,-21.0778,0.4666,0.7245,0.5074,0.0000,0.0000,0.0000,352.4991,0.2512,0.2230,0.2000
star,591,Hyi,29.6925,-61.5697,0.2358,0.9668,-0.0984,0.0000,0.0000,0.0000,458.3086,0.4022,0.4070,0.4246
star,596,Psc,30.5117,2.7636,0.5071,0.4019,0.7624,0.0000,0.0000,0.0000,326.7067,0.1939,0.2006,0.2158
star,603,And,30.9750,42.3297,0.3805,-0.2508,0.8901,0.0000,0.0000,0.0000,526.2087,0.5598,0.5058,0.4622
star,604,And,30.9779,42.3308,0.3805,-0.2508,0.8901,0.0000,0.0000,0.0000,290.5080,0.1533,0.1586,0.1706
star,612,For,31.1225,-29.2969,0.4508,0.8040,0.3879,0.0000,0.0000,0.0000,300.7170,0.1586,0.1664,0.1828
star,617,Ari,31.7933,23.4625,0.4833,0.0603,0.8734,0.0000,0.0000,0.0000,558.6734,0.6310,0.5821,0.5429
star,620,And,32.1221,37.8592,0.4198,-0.1817,0.8892,0.0000,0.0000,0.0000,291.8489,0.1574,0.1617,0.1722
star,622,Tri,32.3858,34.9872,0.4388,-0.1352,0.8884,0.0000,0.0000,0.0000,443.7701,0.3653,0.3746,0.3981
star,623,Ari,32.3554,25.9397,0.4813,0.0163,0.8764,0.0000,0.0000,0.0000,281.2924,0.1536,0.1545,0.1600
star,642,Tri,33.0929,30.3031,0.4714,-0.0600,0.8799,0.0000,0.0000,0.0000,283.8952,0.1629,0.1564,0.1509
star,643,And,33.3054,44.2317,0.3934,-0.2895,0.8726,0.0000,0.0000,0.0000,291.1776,0.1714,0.1534,0.1387
star,649,Cet,33.2500,8.8467,0.5418,0.2938,0.7875,0.0000,0.0000,0.0000,323.7114,0.2118,0.2008,0.1918
star,660,Tri,34.2633,34.2242,0.4655,-0.1301,0.8754,0.0000,0.0000,0.0000,288.5081,0.1683,0.1650,0.1616
star,664,Tri,34.3287,33.8472,0.4684,-0.1242,0.8748,0.0000,0.0000,0.0000,351.6884,0.2243,0.2322,0.2500
star,674,Eri,34.1275,-51.5122,0.3492,0.9363,0.0384,0.0000,0.0000,0.0000,390.0839,0.2693,0.2815,0.3076
star,681,Cet,34.8362,-2.9775,0.5705,0.4667,0.6758,0.0000,0.0000,0.0000,439.7016,0.3908,0.3516,0.3198
star,699,And,36.4058,50.2786,0.3793,-0.3944,0.8370,0.0000,0.0000,0.0000,299.3354,0.1811,0.1614,0.1453
star,705,Hyi,35.4371,-68.6594,0.2110,0.9511,-0.2256,0.0000,0.0000,0.0000,345.2694,0.2166,0.2240,0.2410
star,707,Cas,37.2667,67.4025,0.2327,-0.6339,0.7376,0.0000,0.0000,0.0000,312.7217,0.1807,0.1856,0.1977
star,708,Cet,36.4875,-12.2906,0.5810,0.5871,0.5637,0.0000,0.0000,0.0000,287.1825,0.1482,0.1540,0.1667
star,718,Cet,37.0396,8.4600,0.5958,0.2805,0.7525,0.0000,0.0000,0.0000,330.4898,0.1953,0.2033,0.2208
star,721,Eri,36.7463,-47.7039,0.4026,0.9118,0.0813,0.0000,0.0000,0.0000,332.7806,0.1953,0.2044,0.2239
star,740,Cet,38.0217,-15.2447,0.5943,0.6168,0.5161,0.0000,0.0000,0.0000,296.5910,0.1778,0.1764,0.1778
star,749,For,38.4612,-28.2325,0.5480,0.7608,0.3477,0.0000,0.0000,0.0000,286.5220,0.1470,0.1530,0.1660
star,754,Cet,38.9688,5.5933,0.6259,0.3150,0.7135,0.0000,0.0000,0.0000,289.1732,0.1690,0.1606,0.1537
star,779,Cet,39.8708,0.3286,0.6410,0.3904,0.6608,0.0000,0.0000,0.0000,346.8630,0.2092,0.2202,0.2432
star,781,Cet,39.8908,-11.8722,0.6276,0.5631,0.5376,0.0000,0.0000,0.0000,290.5080,0.1706,0.1692,0.1706
star,788,Per,40.5621,40.1939,0.4967,-0.2543,0.8298,0.0000,0.0000,0.0000,285.8631,0.1652,0.1624,0.1594
star,789,,39.9500,-42.8917,0.4704,0.8727,0.1309,0.0000,0.0000,0.0000,296.5910,0.1607,0.1658,0.1778
star,794,Eri,40.1667,-39.8556,0.4952,0.8515,0.1728,0.0000,0.0000,0.0000,343.6830,0.2388,0.2232,0.2107
star,799,Per,41.0500,49.2283,0.4289,-0.3955,0.8122,0.0000,0.0000,0.0000,342.8925,0.2377,0.2368,0.2346
star,801,Ari,40.8629,27.7072,0.5792,-0.0537,0.8134,0.0000,0.0000,0.0000,302.8015,0.1620,0.1694,0.1854
star,804,Cet,40.8250,3.2358,0.6527,0.3407,0.6767,0.0000,0.0000,0.0000,398.2521,0.2914,0.3000,0.3206
star,806,Hyi,39.8975,-68.2669,0.2375,0.9426,-0.2349,0.0000,0.0000,0.0000,343.6830,0.2112,0.2199,0.2388
star,811,Cet,41.0308,-13.8586,0.6374,0.5825,0.5044,0.0000,0.0000,0.0000,332.7806,0.1953,0.2044,0.2239
star,813,Cet,41.2354,10.1142,0.6489,0.2308,0.7250,0.0000,0.0000,0.0000,331.2516,0.2118,0.2136,0.2218
star,818,Eri,41.2758,-18.5725,0.6253,0.6399,0.4466,0.0000,0.0000,0.0000,316.3429,0.2023,0.2018,0.2001
star,824,Ari,41.9771,29.2472,0.5836,-0.0847,0.8076,0.0000,0.0000,0.0000,313.4426,0.1986,0.1840,0.1722
star,834,Per,42.6742,55.8956,0.3801,-0.4974,0.7798,0.0000,0.0000,0.0000,372.5272,0.2805,0.2468,0.2190
star,837,Hyi,41.3858,-67.6167,0.2518,0.9397,-0.2313,0.0000,0.0000,0.0000,290.5080,0.1542,0.1591,0.1706
star,838,Ari,42.4958,27.2606,0.6005,-0.0550,0.7977,0.0000,0.0000,0.0000,383.8469,0.2616,0.2731,0.2979
star,840,Per,42.6463,38.3186,0.5315,-0.2342,0.8140,0.0000,0.0000,0.0000,334.3167,0.2177,0.2187,0.2259
star,841,For,42.2725,-32.4058,0.5679,0.7811,0.2595,0.0000,0.0000,0.0000,317.0721,0.2032,0.1906,0.1804
star,843,Per,42.8783,35.0597,0.5570,-0.1834,0.8100,0.0000,0.0000,0.0000,312.0025,0.1968,0.1749,0.1570
star,850,Eri,42.7596,-21.0042,0.6338,0.6603,0.4029,0.0000,0.0000,0.0000,296.5910,0.1778,0.1682,0.1604
star,854,Per,43.5646,52.7625,0.4170,-0.4566,0.7859,0.0000,0.0000,0.0000,356.5809,0.2570,0.2479,0.2400
star,868,,43.4704,-49.8903,0.4432,0.8964,0.0069,0.0000,0.0000,0.0000,352.4991,0.2512,0.2156,0.1853
star,872,Hyi,42.6187,-75.0669,0.1745,0.9259,-0.3351,0.0000,0.0000,0.0000,296.5910,0.1778,0.1613,0.1479
star,874,Eri,44.1071,-8.8981,0.6876,0.4980,0.5284,0.0000,0.0000,0.0000,361.5414,0.2642,0.2448,0.2291
star,879,Per,44.6904,39.6628,0.5414,-0.2652,0.7978,0.0000,0.0000,0.0000,300.0254,0.1644,0.1697,0.1820
star,882,Per,44.7654,35.1831,0.5756,-0.1950,0.7942,0.0000,0.0000,0.0000,284.5496,0.1637,0.1498,0.1387
star,887,Ari,44.8029,21.3403,0.6564,0.0285,0.7539,0.0000,0.0000,0.0000,304.9004,0.1692,0.1749,0.1879
star,888,Ari,44.8029,21.3403,0.6564,0.0285,0.7539,0.0000,0.0000,0.0000,304.9004,0.1692,0.1749,0.1879
star,896,Cet,44.9288,8.9075,0.6977,0.2275,0.6793,0.0000,0.0000,0.0000,300.0254,0.1593,0.1665,0.1820
star,897,Eri,44.5654,-40.3047,0.5351,0.8343,0.1326,0.0000,0.0000,0.0000,419.9118,0.3271,0.3354,0.3565
star,898,Eri,44.5679,-40.3044,0.5352,0.8343,0.1326,0.0000,0.0000,0.0000,325.2056,0.1939,0.1998,0.2138
star,909,Hor,44.6992,-64.0714,0.3076,0.9310,-0.1968,0.0000,0.0000,0.0000,280.6455,0.1458,0.1497,0.1592
star,911,Cet,45.5700,4.0897,0.7123,0.2985,0.6353,0.0000,0.0000,0.0000,494.4906,0.4943,0.4363,0.3886
star,915,Per,46.1992,53.5064,0.4292,-0.4771,0.7669,0.0000,0.0000,0.0000,450.9808,0.4111,0.3985,0.3872
star,918,,46.3850,56.7058,0.3974,-0.5214,0.7551,0.0000,0.0000,0.0000,295.9089,0.1770,0.1655,0.1562
star,919,Eri,45.5979,-23.6244,0.6546,0.6737,0.3431,0.0000,0.0000,0.0000,345.2694,0.2220,0.2273,0.2410
star,921,Per,46.2942,38.8403,0.5631,-0.2604,0.7843,0.0000,0.0000,0.0000,405.6561,0.3327,0.2934,0.2611
star,932,,47.9846,74.3936,0.1999,-0.7328,0.6504,0.0000,0.0000,0.0000,288.5081,0.1509,0.1562,0.1683
star,936,Per,47.0421,40.9556,0.5527,-0.2968,0.7787,0.0000,0.0000,0.0000,543.4480,0.5290,0.5503,0.5970
star,937,Per,47.2667,49.6133,0.4759,-0.4264,0.7692,0.0000,0.0000,0.0000,348.4641,0.2455,0.2413,0.2368
star,941,Per,47.3742,44.8572,0.5216,-0.3574,0.7748,0.0000,0.0000,0.0000,369.1119,0.2754,0.2586,0.2449
star,947,Per,47.8225,39.6117,0.5709,-0.2801,0.7718,0.0000,0.0000,0.0000,304.9004,0.1879,0.1741,0.1629
star,951,Ari,47.9075,19.7267,0.6985,0.0357,0.7147,0.0000,0.0000,0.0000,325.2056,0.2138,0.1997,0.1883
star,963,For,48.0179,-28.9869,0.6502,0.7167,0.2519,0.0000,0.0000,0.0000,363.2102,0.2667,0.2646,0.2614
star,972,Ari,48.7254,21.0444,0.7014,0.0093,0.7127,0.0000,0.0000,0.0000,287.1825,0.1488,0.1543,0.1667
star,984,Eri,48.9583,-8.8197,0.7453,0.4656,0.4772,0.0000,0.0000,0.0000,293.1960,0.1626,0.1654,0.1738
star,985,,49.9975,65.6522,0.3158,-0.6444,0.6964,0.0000,0.0000,0.0000,290.5080,0.1486,0.1556,0.1706
star,991,,49.6825,34.2228,0.6305,-0.2065,0.7482,0.0000,0.0000,0.0000,291.8489,0.1722,0.1539,0.1391
star,994,Eri,49.5921,-22.5114,0.7034,0.6366,0.3161,0.0000,0.0000,0.0000,287.8446,0.1675,0.1586,0.1513
star,996,Cet,49.8404,3.3703,0.7629,0.2812,0.5821,0.0000,0.0000,0.0000,291.1776,0.1714,0.1665,0.1621
star,999,,50.0850,29.0483,0.6705,-0.1273,0.7309,0.0000,0.0000,0.0000,316.3429,0.2023,0.1799,0.1616
star,1002,Per,50.3604,43.3294,0.5602,-0.3492,0.7512,0.0000,0.0000,0.0000,283.2422,0.1460,0.1509,0.1622
star,1003,Eri,49.8792,-21.7578,0.7102,0.6260,0.3221,0.0000,0.0000,0.0000,378.5803,0.2897,0.2562,0.2286
star,1008,,49.9821,-43.0697,0.5595,0.8273,0.0509,0.0000,0.0000,0.0000,331.2516,0.2218,0.2147,0.2085
star,1017,Per,51.0808,49.8611,0.5016,-0.4467,0.7409,0.0000,0.0000,0.0000,586.3515,0.6950,0.6934,0.6876
star,1030,Tau,51.2033,9.0289,0.7697,0.1842,0.6112,0.0000,0.0000,0.0000,386.5076,0.3020,0.2863,0.2734
star,1034,,52.0129,49.0628,0.5164,-0.4398,0.7348,0.0000,0.0000,0.0000,281.2924,0.1408,0.1468,0.1600
star,1035,,52.2671,59.9403,0.3961,-0.5840,0.7085,0.0000,0.0000,0.0000,335.8598,0.2253,0.2238,0.2280
star,1038,Tau,51.7925,9.7328,0.7745,0.1691,0.6096,0.0000,0.0000,0.0000,374.2467,0.2491,0.2599,0.2831
star,1040,,52.4787,58.8786,0.4099,-0.5717,0.7107,0.0000,0.0000,0.0000,311.2849,0.1959,0.1933,0.1903
star,1044,Per,52.3421,49.5089,0.5141,-0.4476,0.7317,0.0000,0.0000,0.0000,302.1051,0.1623,0.1694,0.1845
star,1052,Per,52.6438,47.9953,0.5319,-0.4278,0.7308,0.0000,0.0000,0.0000,324.4577,0.2128,0.1926,0.1764
star,1066,Tau,52.7183,12.9367,0.7755,0.1122,0.6213,0.0000,0.0000,0.0000,343.6830,0.2388,0.2209,0.2066
star,1070,Eri,52.6546,-5.0753,0.7919,0.3870,0.4724,0.0000,0.0000,0.0000,297.9600,0.1579,0.1648,0.1795
star,1083,Ret,52.3446,-62.9375,0.3602,0.9065,-0.2204,0.0000,0.0000,0.0000,298.6469,0.1774,0.1766,0.1803
star,1084,Eri,53.2325,-9.4583,0.7902,0.4450,0.4215,0.0000,0.0000,0.0000,375.1095,0.2844,0.2700,0.2581
star,1087,Per,54.1225,48.1928,0.5401,-0.4377,0.7188,0.0000,0.0000,0.0000,334.3167,0.1999,0.2081,0.2259
star,1088,Eri,53.4471,-21.6328,0.7467,0.6011,0.2847,0.0000,0.0000,0.0000,331.2516,0.1945,0.2032,0.2218
star,1101,Tau,54.2183,0.4017,0.8112,0.2951,0.5048,0.0000,0.0000,0.0000,330.4898,0.2208,0.2173,0.2135
star,1106,,54.2737,-40.2747,0.6194,0.7836,0.0489,0.0000,0.0000,0.0000,308.4310,0.1923,0.1794,0.1690
star,1122,Per,55.7313,47.7875,0.5552,-0.4400,0.7058,0.0000,0.0000,0.0000,442.7495,0.3463,0.3623,0.3963
star,1123,Per,55.5938,33.9650,0.6843,-0.2375,0.6895,0.0000,0.0000,0.0000,281.9409,0.1434,0.1487,0.1607
star,1129,,56.5096,63.3450,0.3741,-0.6386,0.6725,0.0000,0.0000,0.0000,293.1960,0.1738,0.1664,0.1603
star,1131,Per,56.0796,32.2883,0.7015,-0.2149,0.6795,0.0000,0.0000,0.0000,366.5709,0.2450,0.2530,0.2716
star,1135,Per,56.2983,42.5786,0.6126,-0.3695,0.6987,0.0000,0.0000,0.0000,371.6704,0.2770,0.2748,0.2793
star,1136,Eri,55.8121,-9.7633,0.8152,0.4306,0.3873,0.0000,0.0000,0.0000,391.8845,0.3105,0.2933,0.2794
