mesh,x_cm,y_cm,yaw_deg,scale,withers,seasons
cattail,14508,6166,72.2,1.07,1,all
cattail,14734,6633,189.0,0.82,1,all
cattail,14836,7292,36.8,1.03,1,all
cattail,16348,9005,243.8,0.94,1,all
cattail,16580,9230,217.3,0.99,1,all
cattail,17276,9846,9.3,0.93,1,all
cattail,18786,11173,330.5,1.10,1,all
cattail,19683,11263,145.7,1.01,1,all
cattail,20074,11596,208.0,0.96,1,all
cattail,21643,11996,67.8,0.90,1,all
cattail,22283,12396,128.4,0.83,1,all
cattail,22744,12442,253.2,0.88,1,all
cattail,23093,12627,246.8,1.09,1,all
cattail,23787,12673,206.7,0.87,1,all
cattail,23849,12148,240.6,0.83,1,all
cattail,24498,12198,84.7,0.89,1,all
cattail,26407,12137,193.5,1.03,1,all
cattail,26921,11738,132.0,0.95,1,all
cattail,28456,11083,245.5,0.88,1,all
cattail,29179,11085,171.5,1.00,1,all
cattail,29362,10777,330.4,0.91,1,all
cattail,29637,10582,102.0,1.19,1,all
cattail,32236,8241,230.1,1.17,1,all
cattail,32522,7798,310.6,1.01,1,all
cattail,32718,7220,178.0,1.06,1,all
cattail,33203,7177,116.5,0.94,1,all
cattail,33498,6231,267.1,1.00,1,all
cattail,33908,-115,182.4,0.98,1,all
cattail,34043,-484,261.9,1.02,1,all
cattail,34043,843,306.2,0.89,1,all
cattail,34068,100,231.0,1.04,1,all
cattail,34070,2423,212.4,0.99,1,all
cattail,34095,2096,269.2,1.03,1,all
cattail,34190,-454,100.3,1.19,1,all
cattail,34235,4225,308.1,1.11,1,all
cattail,34256,4772,288.0,1.16,1,all
cattail,34293,333,122.6,1.03,1,all
flower_purple_a,787,-12583,308.0,0.96,0,rains;sowing
flower_purple_a,1154,-13687,220.7,1.17,0,rains;sowing
flower_purple_a,1723,-9189,186.8,1.03,0,rains;sowing
flower_purple_a,1752,-7674,294.7,0.83,0,rains;sowing
flower_purple_a,3320,-13569,295.4,1.07,0,rains;sowing
flower_purple_a,3438,-12637,11.4,1.00,0,rains;sowing
flower_purple_a,3867,-8811,209.5,1.19,0,rains;sowing
flower_purple_a,4087,-12676,32.9,1.07,0,rains;sowing
flower_purple_a,4794,-12414,151.1,0.97,0,rains;sowing
flower_purple_a,5348,-9926,228.0,1.02,0,rains;sowing
flower_purple_a,5535,-9079,52.2,0.92,0,rains;sowing
flower_purple_a,5549,-9206,155.5,1.05,0,rains;sowing
flower_purple_a,5970,-10696,357.5,0.99,0,rains;sowing
flower_purple_a,9255,16436,126.4,0.95,0,rains;sowing
flower_purple_a,11042,12824,277.7,0.86,0,rains;sowing
flower_purple_a,19294,11299,167.9,0.81,0,rains;sowing
flower_purple_a,20341,14724,356.5,0.92,0,rains;sowing
flower_purple_a,33045,13527,162.3,0.94,0,rains;sowing
flower_purple_a,33779,12948,31.9,1.09,0,rains;sowing
flower_purple_a,34099,-546,167.9,0.87,0,rains;sowing
flower_purple_a,34907,11730,25.0,1.16,0,rains;sowing
flower_red_a,1089,-13708,314.4,0.84,0,rains;sowing
flower_red_a,1461,-13967,165.6,0.84,0,rains;sowing
flower_red_a,1599,-7984,108.6,1.14,0,rains;sowing
flower_red_a,2034,-7748,181.5,1.07,0,rains;sowing
flower_red_a,2079,-11784,40.1,1.11,0,rains;sowing
flower_red_a,2525,-12020,72.0,1.10,0,rains;sowing
flower_red_a,2571,-10074,289.1,0.82,0,rains;sowing
flower_red_a,3516,-9832,356.4,1.06,0,rains;sowing
flower_red_a,3564,-9536,98.3,1.01,0,rains;sowing
flower_red_a,3636,-9412,178.2,1.15,0,rains;sowing
flower_red_a,4311,-13602,228.2,1.11,0,rains;sowing
flower_red_a,4676,-12170,73.5,0.85,0,rains;sowing
flower_red_a,5106,-9842,47.7,1.00,0,rains;sowing
flower_red_a,5110,-12258,275.1,1.05,0,rains;sowing
flower_red_a,5249,-10130,306.1,0.95,0,rains;sowing
flower_red_a,5567,-10071,302.5,0.98,0,rains;sowing
flower_red_a,5914,-12502,241.3,0.82,0,rains;sowing
flower_red_a,6726,3238,71.9,0.84,0,rains;sowing
flower_red_a,9764,19998,145.5,1.00,0,rains;sowing
flower_red_a,9788,11652,126.4,0.83,0,rains;sowing
flower_red_a,9968,11795,129.2,1.13,0,rains;sowing
flower_red_a,10025,11910,308.0,0.91,0,rains;sowing
flower_red_a,10183,12523,357.1,0.92,0,rains;sowing
flower_red_a,10210,17136,167.3,0.83,0,rains;sowing
flower_red_a,10724,19789,170.6,1.12,0,rains;sowing
flower_red_a,11339,21136,108.2,1.20,0,rains;sowing
flower_red_a,11446,24700,322.4,0.92,0,rains;sowing
flower_red_a,11648,24526,319.9,1.13,0,rains;sowing
flower_red_a,11670,14196,63.0,1.16,0,rains;sowing
flower_red_a,11964,22183,187.8,0.86,0,rains;sowing
flower_red_a,12290,22041,0.2,0.91,0,rains;sowing
flower_red_a,12621,21899,209.5,0.84,0,rains;sowing
flower_red_a,12726,20254,174.5,0.81,0,rains;sowing
flower_red_a,12915,21270,128.9,0.82,0,rains;sowing
flower_red_a,13271,15391,216.4,0.88,0,rains;sowing
flower_red_a,14066,16255,120.6,0.97,0,rains;sowing
flower_red_a,15253,22111,205.9,0.90,0,rains;sowing
flower_red_a,16710,17759,159.3,0.83,0,rains;sowing
flower_red_a,17014,13324,31.2,0.91,0,rains;sowing
flower_red_a,19591,11530,343.1,0.97,0,rains;sowing
flower_red_a,30319,18148,165.6,1.03,0,rains;sowing
flower_red_a,30996,13298,72.4,1.09,0,rains;sowing
flower_red_a,32934,13705,85.5,0.91,0,rains;sowing
flower_red_a,34000,12811,181.7,1.07,0,rains;sowing
flower_red_a,34186,-584,281.5,0.88,0,rains;sowing
flower_red_a,34503,1566,326.8,1.16,0,rains;sowing
flower_red_a,34813,12089,345.5,0.92,0,rains;sowing
flower_red_a,35600,649,169.5,1.01,0,rains;sowing
flower_red_a,35749,2067,308.2,0.96,0,rains;sowing
flower_red_a,36618,13927,202.2,0.81,0,rains;sowing
flower_red_a,39460,9339,32.2,0.81,0,rains;sowing
flower_red_a,40168,7869,242.4,0.80,0,rains;sowing
flower_red_a,40538,7049,250.8,0.93,0,rains;sowing
flower_red_a,40762,5606,174.6,0.96,0,rains;sowing
flower_red_a,41052,-327,173.6,0.96,0,rains;sowing
flower_red_b,662,-13303,232.8,0.85,0,rains;sowing
flower_red_b,967,-13184,268.0,1.08,0,rains;sowing
flower_red_b,1435,-12155,317.9,0.87,0,rains;sowing
flower_red_b,1868,-7719,331.5,0.99,0,rains;sowing
flower_red_b,2022,-9584,78.3,1.01,0,rains;sowing
flower_red_b,2199,-9707,173.3,1.12,0,rains;sowing
flower_red_b,2271,-10382,161.6,0.84,0,rains;sowing
flower_red_b,3753,-12391,24.6,0.94,0,rains;sowing
flower_red_b,4099,-9511,322.8,1.14,0,rains;sowing
flower_red_b,4130,-12057,307.8,0.84,0,rains;sowing
flower_red_b,5132,-13204,126.5,0.93,0,rains;sowing
flower_red_b,5417,-12054,327.0,0.99,0,rains;sowing
flower_red_b,7458,14140,185.8,1.19,0,rains;sowing
flower_red_b,9862,17067,83.3,0.97,0,rains;sowing
flower_red_b,10981,22041,108.2,1.14,0,rains;sowing
flower_red_b,11190,13158,46.9,1.11,0,rains;sowing
flower_red_b,11249,13412,359.0,1.01,0,rains;sowing
flower_red_b,12382,14795,227.3,1.10,0,rains;sowing
flower_red_b,12538,19016,279.5,0.87,0,rains;sowing
flower_red_b,12545,13450,169.9,0.93,0,rains;sowing
flower_red_b,13244,19409,333.7,0.92,0,rains;sowing
flower_red_b,13453,20315,336.4,1.15,0,rains;sowing
flower_red_b,15036,22267,195.7,1.00,0,rains;sowing
flower_red_b,17469,18029,318.7,1.18,0,rains;sowing
flower_red_b,17557,14995,98.7,1.10,0,rains;sowing
flower_red_b,18530,18420,47.2,0.93,0,rains;sowing
flower_red_b,21145,18999,78.8,0.88,0,rains;sowing
flower_red_b,28528,18556,65.6,1.08,0,rains;sowing
flower_red_b,29101,14345,167.7,0.91,0,rains;sowing
flower_red_b,29556,10950,37.5,1.19,0,rains;sowing
flower_red_b,30593,17888,216.4,0.92,0,rains;sowing
flower_red_b,33129,16663,65.2,1.12,0,rains;sowing
flower_red_b,34387,15686,203.1,0.85,0,rains;sowing
flower_red_b,35705,14709,50.6,1.06,0,rains;sowing
flower_red_b,37926,9231,60.9,0.98,0,rains;sowing
flower_red_b,40816,-1442,138.8,1.08,0,rains;sowing
flower_red_c,1396,-12111,4.5,0.90,0,rains;sowing
flower_red_c,1740,-14243,314.8,1.16,0,rains;sowing
flower_red_c,2619,-13915,7.1,0.95,0,rains;sowing
flower_red_c,2677,-12083,204.1,1.13,0,rains;sowing
flower_red_c,2739,-11971,248.4,1.03,0,rains;sowing
flower_red_c,3677,-8125,90.6,0.89,0,rains;sowing
flower_red_c,3735,-14295,179.7,1.17,0,rains;sowing
flower_red_c,3761,-13283,346.9,0.85,0,rains;sowing
flower_red_c,3944,-12880,25.7,0.94,0,rains;sowing
flower_red_c,4031,-12303,205.9,0.87,0,rains;sowing
flower_red_c,4120,-13241,263.9,1.18,0,rains;sowing
flower_red_c,4141,-12597,125.4,1.11,0,rains;sowing
flower_red_c,4389,-9607,207.4,0.94,0,rains;sowing
flower_red_c,5273,-9520,248.9,0.91,0,rains;sowing
flower_red_c,5525,-11841,38.0,1.03,0,rains;sowing
flower_red_c,8789,10386,59.9,1.02,0,rains;sowing
flower_red_c,10463,20903,169.1,1.19,0,rains;sowing
flower_red_c,10635,10571,207.2,1.15,0,rains;sowing
flower_red_c,11388,18190,99.3,0.99,0,rains;sowing
flower_red_c,12455,20732,175.4,0.99,0,rains;sowing
flower_red_c,12474,24258,188.6,0.98,0,rains;sowing
flower_red_c,12643,23568,255.2,1.08,0,rains;sowing
flower_red_c,13252,15568,96.8,0.85,0,rains;sowing
flower_red_c,13547,21281,306.7,1.18,0,rains;sowing
flower_red_c,14925,21137,253.4,1.15,0,rains;sowing
flower_red_c,15465,17036,103.4,1.16,0,rains;sowing
flower_red_c,16703,17484,249.0,1.10,0,rains;sowing
flower_red_c,20327,14875,29.2,0.96,0,rains;sowing
flower_red_c,26551,15172,171.1,1.18,0,rains;sowing
flower_red_c,29116,15714,181.8,1.07,0,rains;sowing
flower_red_c,33038,7279,86.4,0.94,0,rains;sowing
flower_red_c,35535,4571,211.6,0.96,0,rains;sowing
flower_red_c,35619,430,97.5,1.10,0,rains;sowing
flower_red_c,40454,6719,86.6,0.99,0,rains;sowing
flower_red_c,40841,-980,26.1,0.98,0,rains;sowing
flower_red_c,41107,2724,15.4,0.99,0,rains;sowing
flower_yellow_a,1050,-9699,315.3,0.80,0,rains;sowing
flower_yellow_a,1163,-12250,305.9,1.15,0,rains;sowing
flower_yellow_a,1904,-10920,305.1,1.20,0,rains;sowing
flower_yellow_a,2085,-9792,187.3,1.06,0,rains;sowing
flower_yellow_a,2291,-11403,180.3,0.92,0,rains;sowing
flower_yellow_a,2840,-14246,290.4,0.99,0,rains;sowing
flower_yellow_a,3067,-8368,58.6,0.83,0,rains;sowing
flower_yellow_a,3462,-12500,288.6,0.96,0,rains;sowing
flower_yellow_a,3523,-9241,158.9,0.87,0,rains;sowing
flower_yellow_a,3870,-9529,291.7,1.18,0,rains;sowing
flower_yellow_a,3975,-12326,251.6,0.94,0,rains;sowing
flower_yellow_a,5400,-13542,279.1,0.93,0,rains;sowing
flower_yellow_a,5528,-13660,134.6,0.96,0,rains;sowing
flower_yellow_a,5595,-12274,53.3,0.95,0,rains;sowing
flower_yellow_a,10371,10486,40.7,1.17,0,rains;sowing
flower_yellow_a,10837,12776,154.8,1.05,0,rains;sowing
flower_yellow_a,11363,18125,281.9,0.93,0,rains;sowing
flower_yellow_a,12923,19471,266.8,0.82,0,rains;sowing
flower_yellow_a,13156,13876,185.1,0.94,0,rains;sowing
flower_yellow_a,29005,15875,251.2,1.12,0,rains;sowing
flower_yellow_a,32892,7557,49.6,1.13,0,rains;sowing
flower_yellow_a,34431,1583,241.2,0.99,0,rains;sowing
flower_yellow_a,35550,4631,322.5,1.00,0,rains;sowing
flower_yellow_a,35633,-222,257.3,1.06,0,rains;sowing
grass,1684,-14362,110.6,0.72,1,all
grass,1738,-9357,156.4,0.93,1,all
grass,1822,-10718,200.1,1.02,1,all
grass,2137,-9656,234.6,0.89,1,all
grass,2404,-10368,118.6,1.19,1,all
grass,3268,-9899,167.6,0.94,1,all
grass,3306,-9984,1.1,0.91,1,all
grass,3702,-9830,276.0,1.05,1,all
grass,3744,-13840,310.8,0.87,1,all
grass,3980,-9559,338.3,0.94,1,all
grass,4179,-12656,165.3,0.93,1,all
grass,4315,-12925,296.5,1.04,1,all
grass,5280,-12254,54.1,1.18,1,all
grass,5500,-12726,204.7,0.89,1,all
grass,5580,-9362,218.3,1.14,1,all
grass,5707,-10380,262.3,1.03,1,all
grass,5927,-11811,174.7,1.19,1,all
grass,6623,1783,276.5,0.92,1,all
grass,11071,21672,298.4,0.83,1,all
grass,11159,24757,116.2,0.72,1,all
grass,11292,21692,76.1,0.77,1,all
grass,11300,21831,298.6,0.78,1,all
grass,11312,23644,248.9,0.81,1,all
grass,11780,22086,185.7,1.18,1,all
grass,12003,14312,298.1,0.71,1,all
grass,12371,14839,71.7,1.11,1,all
grass,12669,24305,21.7,1.11,1,all
grass,12716,22057,201.3,1.09,1,all
grass,13071,21740,349.6,0.85,1,all
grass,13876,19968,99.5,1.00,1,all
grass,13978,13023,275.3,0.74,1,all
grass,14304,22077,13.1,0.96,1,all
grass,14447,21219,47.0,0.73,1,all
grass,15257,21937,334.0,0.90,1,all
grass,15464,22137,346.9,0.93,1,all
grass,19323,18662,72.1,0.76,1,all
grass,26396,19091,46.2,1.20,1,all
grass,27396,18851,7.1,1.14,1,all
grass,30909,17757,147.2,1.06,1,all
grass,39403,9783,194.0,0.94,1,all
grass,39674,9288,358.0,1.14,1,all
grass,41102,-1065,299.1,1.18,1,all
grass,41105,5118,157.3,1.10,1,all
grass_large,1501,-14155,354.8,1.11,1,all
grass_large,1720,-9450,13.7,0.85,1,all
grass_large,1869,-10957,247.6,0.98,1,all
grass_large,2058,-10961,219.4,0.83,1,all
grass_large,2075,-8190,237.9,0.87,1,all
grass_large,2294,-11060,181.0,0.84,1,all
grass_large,2830,-8573,109.0,0.71,1,all
grass_large,2878,-10072,242.7,0.85,1,all
grass_large,2885,-10101,332.7,0.84,1,all
grass_large,3312,-12712,124.5,1.17,1,all
grass_large,3434,-12462,296.7,0.73,1,all
grass_large,3572,-9535,237.4,1.07,1,all
grass_large,3617,-8594,300.7,1.03,1,all
grass_large,3677,-8708,206.7,0.70,1,all
grass_large,4282,-12801,81.6,0.99,1,all
grass_large,4370,-13526,107.5,1.03,1,all
grass_large,4707,-13398,80.9,0.89,1,all
grass_large,4971,-8962,96.9,0.92,1,all
grass_large,5213,-12218,154.3,1.07,1,all
grass_large,5305,-13167,53.5,1.00,1,all
grass_large,5319,-9688,207.7,0.86,1,all
grass_large,5440,-9618,34.4,1.10,1,all
grass_large,5464,-11229,57.1,0.97,1,all
grass_large,5733,-12558,143.4,0.96,1,all
grass_large,5860,-12353,104.7,0.97,1,all
grass_large,6000,-11941,296.9,1.06,1,all
grass_large,6759,3512,253.1,1.17,1,all
grass_large,7217,-2041,63.7,0.83,1,all
grass_large,8642,9643,60.9,0.73,1,all
grass_large,9732,19942,258.3,1.11,1,all
grass_large,10045,21224,84.4,0.84,1,all
grass_large,10415,20075,35.6,0.86,1,all
grass_large,10644,20835,74.4,0.95,1,all
grass_large,11019,19224,138.7,0.98,1,all
grass_large,11972,24812,149.2,1.16,1,all
grass_large,12728,21673,7.4,0.95,1,all
grass_large,13640,15884,83.9,0.86,1,all
grass_large,13896,20421,355.0,1.03,1,all
grass_large,14126,22736,214.3,1.15,1,all
grass_large,14664,22312,127.9,0.89,1,all
grass_large,16792,17545,35.9,1.15,1,all
grass_large,17095,13142,211.8,0.99,1,all
grass_large,17936,18195,304.4,0.83,1,all
grass_large,18195,18184,345.2,0.72,1,all
grass_large,19759,18593,218.2,1.18,1,all
grass_large,22262,19274,137.2,1.11,1,all
grass_large,23624,19259,90.1,1.09,1,all
grass_large,27924,18749,181.2,0.74,1,all
grass_large,28707,12521,118.2,0.77,1,all
grass_large,30400,18075,3.6,0.90,1,all
grass_large,31884,17328,339.8,0.91,1,all
grass_large,35162,15088,156.2,1.14,1,all
grass_large,41198,3250,53.8,1.09,1,all
grass_large,41225,-309,129.0,0.85,1,all
grass_leafs,679,-12478,7.8,0.73,1,all
grass_leafs,1068,-12572,43.6,0.71,1,all
grass_leafs,1675,-13838,134.4,0.72,1,all
grass_leafs,1803,-8107,121.8,1.19,1,all
grass_leafs,1866,-9180,282.5,1.06,1,all
grass_leafs,1897,-13861,295.6,0.70,1,all
grass_leafs,1955,-14215,20.8,0.75,1,all
grass_leafs,2029,-12028,173.5,0.97,1,all
grass_leafs,2260,-12103,154.1,1.00,1,all
grass_leafs,2351,-14086,21.8,0.70,1,all
grass_leafs,2539,-14156,38.1,1.08,1,all
grass_leafs,3078,-8276,225.8,0.80,1,all
grass_leafs,3320,-12496,99.4,0.72,1,all
grass_leafs,3328,-12384,17.1,0.80,1,all
grass_leafs,3484,-12491,32.3,0.79,1,all
grass_leafs,3745,-9716,87.0,0.93,1,all
grass_leafs,3785,-12896,280.3,1.03,1,all
grass_leafs,3928,-8650,292.3,0.81,1,all
grass_leafs,4121,-13269,234.3,0.79,1,all
grass_leafs,4420,-9178,331.3,0.76,1,all
grass_leafs,4611,-9229,305.1,0.87,1,all
grass_leafs,5444,-9001,38.9,1.06,1,all
grass_leafs,5456,-12315,219.8,1.07,1,all
grass_leafs,5472,-12615,46.3,0.87,1,all
grass_leafs,5612,-9871,229.7,0.82,1,all
grass_leafs,6050,-12281,153.0,1.18,1,all
grass_leafs,6956,3971,310.1,0.83,1,all
grass_leafs,8705,9984,245.4,0.80,1,all
grass_leafs,9800,6469,178.6,1.12,1,all
grass_leafs,11417,20745,88.0,0.88,1,all
grass_leafs,11739,16408,249.4,0.95,1,all
grass_leafs,11825,23423,98.8,1.15,1,all
grass_leafs,12594,20447,309.8,0.74,1,all
grass_leafs,14563,21249,328.1,0.80,1,all
grass_leafs,14931,16577,195.5,0.71,1,all
grass_leafs,15343,17065,228.2,0.93,1,all
grass_leafs,17912,17989,20.4,1.10,1,all
grass_leafs,18496,18346,319.2,0.92,1,all
grass_leafs,19892,18721,335.3,0.78,1,all
grass_leafs,28269,18772,39.4,1.15,1,all
grass_leafs,32057,14142,280.7,0.71,1,all
grass_leafs,32782,16683,268.0,1.14,1,all
grass_leafs,34098,16013,165.9,0.95,1,all
grass_leafs,36857,13353,74.5,0.83,1,all
grass_leafs,40949,-1858,198.9,1.17,1,all
grass_leafs,41134,-562,359.7,1.19,1,all
grass_leafs,41321,1029,312.8,1.09,1,all
kk_bucket_water,8361,5080,304.2,1.09,0,all
kk_bucket_water,9478,1584,323.7,1.10,0,all
kk_bucket_water,9870,9689,150.2,1.06,0,all
kk_bucket_water,10259,12040,129.5,0.92,0,all
kk_bucket_water,12782,6568,64.4,1.06,0,all
kk_bucket_water,13523,2337,267.3,0.97,0,all
kk_bucket_water,13902,4535,261.1,1.00,0,all
kk_bucket_water,13994,5345,316.5,1.01,0,all
kk_bucket_water,15150,22255,90.7,0.99,0,all
kk_bucket_water,17432,12196,261.1,0.95,0,all
kk_bucket_water,19710,11591,230.5,0.97,0,all
kk_bucket_water,20076,14718,112.5,0.91,0,all
kk_bucket_water,22525,12338,64.1,1.04,0,all
kk_bucket_water,27752,11877,194.4,1.09,0,all
kk_bucket_water,28580,11455,136.9,0.97,0,all
kk_bucket_water,31192,9552,194.6,0.91,0,all
kk_bucket_water,34211,-613,29.7,0.94,0,all
kk_bucket_water,34434,1091,168.8,1.08,0,all
kk_bucket_water,34455,7442,205.9,0.96,0,all
kk_bucket_water,35262,7210,211.9,1.08,0,all
kk_bucket_water,35414,4678,38.1,0.98,0,all
kk_bucket_water,35630,3218,64.5,0.92,0,all
kk_bucket_water,38092,9194,251.2,1.06,0,all
kk_ladder,2622,-8465,277.1,1.00,0,all
kk_ladder,7724,14542,50.1,1.00,0,all
kk_ladder,8316,4452,264.7,1.00,0,all
kk_ladder,9365,1403,259.7,1.00,0,all
kk_ladder,10994,-1436,329.2,1.00,0,all
kk_ladder,11035,18098,76.1,1.00,0,all
kk_ladder,11112,13125,5.4,1.00,0,all
kk_ladder,11817,24582,203.1,1.00,0,all
kk_ladder,12511,18975,36.8,1.00,0,all
kk_ladder,12870,6806,236.2,1.00,0,all
kk_ladder,13400,7907,96.7,1.00,0,all
kk_ladder,13905,-621,70.9,1.00,0,all
kk_ladder,32613,13742,43.7,1.00,0,all
kk_ladder,34233,12446,350.0,1.00,0,all
kk_ladder,34548,7530,348.0,1.00,0,all
kk_ladder,35728,1771,301.3,1.00,0,all
kk_rock_c,1334,-10065,294.5,0.87,0,all
kk_rock_c,1938,-11956,24.4,0.88,0,all
kk_rock_c,2627,-8300,196.1,1.39,0,all
kk_rock_c,2673,-11858,316.2,0.80,0,all
kk_rock_c,3462,-14081,168.3,0.67,0,all
kk_rock_c,3672,-12476,172.1,0.86,0,all
kk_rock_c,3919,-12301,133.5,0.98,0,all
kk_rock_c,3979,-12299,187.2,1.19,0,all
kk_rock_c,4775,-9126,192.9,1.24,0,all
kk_rock_c,5352,-12450,346.6,1.17,0,all
kk_rock_c,9679,19563,109.6,0.75,0,all
kk_rock_c,9967,12215,305.8,0.85,0,all
kk_rock_c,10060,12164,200.4,0.70,0,all
kk_rock_c,10333,12612,276.4,1.03,0,all
kk_rock_c,10897,13088,183.9,1.36,0,all
kk_rock_c,12888,15297,119.6,1.12,0,all
kk_rock_c,15295,21882,358.0,1.11,0,all
kk_rock_c,29440,12157,359.1,1.07,0,all
kk_rock_c,40725,-1915,265.4,0.69,0,all
kk_sack,1495,-13415,234.9,1.06,0,all
kk_sack,2302,-13174,277.4,1.00,0,all
kk_sack,8974,6714,123.2,0.92,0,all
kk_sack,9578,150,279.5,1.03,0,all
kk_sack,11322,13382,155.6,1.05,0,all
kk_sack,12959,5544,300.2,1.03,0,all
kk_sack,13112,5966,220.3,0.92,0,all
kk_sack,13281,7918,324.4,1.01,0,all
kk_sack,13335,19547,133.2,0.99,0,all
kk_sack,13583,22745,322.5,1.04,0,all
kk_sack,13589,2518,164.2,0.98,0,all
kk_sack,13703,14875,266.3,0.96,0,all
kk_sack,34250,12467,281.8,1.03,0,all
kk_sack,34515,2261,299.6,0.98,0,all
kk_sack,34801,5263,155.9,1.07,0,all
kk_sack,35545,6230,144.1,1.01,0,all
kk_sack,35791,1934,1.8,0.91,0,all
kk_sack,39249,6201,226.8,1.05,0,all
kk_waterlily_a,14008,3828,73.7,0.82,0,rains;sowing;harvest
kk_waterlily_a,14061,3127,171.7,1.15,0,rains;sowing;harvest
kk_waterlily_a,14266,4310,212.7,1.24,0,rains;sowing;harvest
kk_waterlily_a,14503,4266,49.0,1.05,0,rains;sowing;harvest
kk_waterlily_a,14790,4272,211.7,1.14,0,rains;sowing;harvest
kk_waterlily_a,14794,5056,6.3,1.24,0,rains;sowing;harvest
kk_waterlily_a,15918,6639,169.3,1.24,0,rains;sowing;harvest
kk_waterlily_a,16543,8906,284.1,1.17,0,rains;sowing;harvest
kk_waterlily_a,16948,8506,142.2,1.27,0,rains;sowing;harvest
kk_waterlily_a,18058,9294,112.7,0.86,0,rains;sowing;harvest
kk_waterlily_a,20326,11477,277.1,1.23,0,rains;sowing;harvest
kk_waterlily_a,20584,10707,42.3,1.26,0,rains;sowing;harvest
kk_waterlily_a,20678,11042,211.1,1.30,0,rains;sowing;harvest
kk_waterlily_a,20813,11430,228.2,0.97,0,rains;sowing;harvest
kk_waterlily_a,23757,12193,53.8,1.24,0,rains;sowing;harvest
kk_waterlily_a,24463,11608,277.0,1.23,0,rains;sowing;harvest
kk_waterlily_a,25646,11346,87.3,1.06,0,rains;sowing;harvest
kk_waterlily_a,27381,10852,166.4,0.82,0,rains;sowing;harvest
kk_waterlily_a,28347,11179,222.6,0.83,0,rains;sowing;harvest
kk_waterlily_a,28464,11009,18.3,0.97,0,rains;sowing;harvest
kk_waterlily_a,29346,9739,30.0,1.13,0,rains;sowing;harvest
kk_waterlily_a,29970,9978,25.0,1.17,0,rains;sowing;harvest
kk_waterlily_a,31424,8296,105.7,0.91,0,rains;sowing;harvest
kk_waterlily_a,32448,6338,261.4,1.15,0,rains;sowing;harvest
kk_waterlily_a,32807,5552,184.2,0.89,0,rains;sowing;harvest
kk_waterlily_a,33220,3618,148.0,1.14,0,rains;sowing;harvest
kk_waterlily_a,33897,291,329.6,0.92,0,rains;sowing;harvest
kk_waterlily_a,34178,2400,80.2,0.88,0,rains;sowing;harvest
