Name,city,district,kind,building_id,owner_person_id,name,description,tag,source_ref
elder_house_2_place,city_of_the_moon,Moon Gate Quarter,house,mudbrick_house_modest,amat_shamash_household_elder,Amat-Shamash's House,A modest household headed by an elder of the street.,INVENTED,INVENTED (D-018)
street_well_place,city_of_the_moon,Moon Gate Quarter,well,,,The Street Well,Where the water-carriers draw the day's water at the coolest hour; every jar counted in the drought.,INVENTED,INVENTED (D-018); schedules.csv water_carriers_draw; wb §4.1 (the drought that is breaking the world)
moon_niche_place,city_of_the_moon,Moon Gate Quarter,shrine,,,The Moon Niche,A small wayside niche facing the temple where residents leave offerings between the great rites.,INVENTED,INVENTED (D-018); wb §5 (temple of sun and moon); deities.csv nanna
street_granary_place,city_of_the_moon,Moon Gate Quarter,granary,,,The Street Granary,A small street-level granary holding the ration measure against the drought.,INVENTED,INVENTED (D-018); items.csv drought_ration_measure; wb §4.1
great_lighthouse_place,city_of_the_moon,Lighthouse Wharf,lighthouse,great_lighthouse,,The Great Lighthouse,The tower whose fire guides the ships of the sea lanes past the dark coast; the keeper takes harbor dues in barley and silver by weight at its foot.,INVENTED,INVENTED (D-018; D-020); buildings.csv great_lighthouse (CANON); schedules.csv lighthouse_harbor_watch;lighthouse_fire_through_night; wb §5; notes L52
lighthouse_wharf_place,city_of_the_moon,Lighthouse Wharf,wharf,,,The Lighthouse Wharf,The quays below the Great Lighthouse where the fishing boats put out on the morning tide and outbound cargo is carried down for the evening tide.,INVENTED,INVENTED (D-018; D-020); schedules.csv fishermen_morning_tide;dockworkers_outbound_cargo; quests.csv errand_for_the_caravan_master;a_share_of_the_sea_lanes (the lighthouse wharf); dialogues.csv arrival_captain_verdict (the dockside below the Great Lighthouse); notes L52
fields_beyond_the_gate_place,city_of_the_moon,Beyond the Moon Gate,field,,,The Barley Fields,"The barley and wheat fields along the river road outside the Moon Gate, hoed and hauled at first light while the air is still cool.",INVENTED,INVENTED (D-018; D-020); schedules.csv field_hands_first_light; dialogues.csv breaking_retributor_of_utu (the river road below the moon gate); notes L57 (sowing wheat and barley)
grazing_lands_place,city_of_the_moon,Beyond the Moon Gate,pasture,,,The Grazing Lands,The grazing lands beyond the walls where the street's flocks are driven at first light and brought back through the gate to be counted before dark.,INVENTED,INVENTED (D-018; D-020); schedules.csv herds_out_to_pasture;herds_home_before_dark
physicians_house_place,city_of_the_moon,Moon Gate Quarter,house,mudbrick_house_modest,urlugaledina_physician,The Physician's House,"The asû's house: bundles of drying herbs under the eaves, jars of oil and plaster, a bench where the wounded are laid and bound.",INVENTED,"INVENTED (W4-B; D-018, D-021): the street's healer (kernel Combat treat_wounds 'healer'); ledger docs/proposals/invented-ledger-combat.md #7"
smithy_place,city_of_the_moon,Moon Gate Quarter,smithy,mudbrick_house_modest,nur_ea_smith,The Coppersmith's Forge,"A walled yard with a clay furnace, bellows of goatskin and crucibles; blades are mended and broken bronze recast here.",INVENTED,"INVENTED (W4-B; D-018, D-021): repair and recasting of arms (kernel Combat repair/recast); ledger docs/proposals/invented-ledger-combat.md #7"
