Name,name,category,culture,material,producer,price_band,tag,source_ref
a_burned_goat's_liver,A burned goat's liver,divination material,river lands,the liver of a sacrificed goat,the temple's herds and the diviner's own sacrifice,2,CANON,wb §8.2; notes L202 (the liver of a burned goat predicts the future — Barutu); id per the rites-material normalization (DECISIONS.md D-011; rites.csv barutu_haruspicy)
flint_dagger,Flint dagger,weapon,river lands,knapped flint on a wooden grip,the flint-knappers of the villages,1,A,W4-B: flint knives beside copper in Chalcolithic and Early Bronze Age Mesopotamia; stats in db/canon/arms.csv
copper_dagger,Copper dagger,weapon,river lands,cast copper,the coppersmiths of the river cities,2,A,W4-B: Royal Cemetery of Ur (copper daggers among the grave goods); stats in db/canon/arms.csv
iron_dagger,Iron dagger (a prestige curiosity),weapon,the_empire,iron with a gold-sheathed hilt,a far-off smith of the northern mountains — traded as a marvel,5,A,W4-B: the gold-hilted iron dagger of Alaca Höyük; Old Assyrian Kültepe letters (amūtum iron dearer than silver); stats in db/canon/arms.csv
arsenical_bronze_axe,Socketed axe (arsenical bronze),weapon,river lands,arsenical bronze on a wooden haft,the coppersmiths of the river cities,2,A,W4-B: Royal Cemetery of Ur (socketed axe-heads); the Standard of Ur; stats in db/canon/arms.csv
stone_mace,Stone-headed mace,weapon,river lands,pear-shaped stone head on a wooden haft,the stone-workers of the river cities,1,A,W4-B: pear-shaped stone mace-heads of the Uruk and Early Dynastic periods; stats in db/canon/arms.csv
copper_mace,Copper-headed mace,weapon,river lands,cast copper head on a wooden haft,the coppersmiths of the river cities,2,A,W4-B: cast copper mace-heads of the Chalcolithic Near East (Nahal Mishmar); stats in db/canon/arms.csv
copper_spear,Copper-headed spear,weapon,river lands,copper head on a long wooden shaft,the coppersmiths of the river cities,2,A,W4-B: Stele of the Vultures (the Lagash phalanx); copper spearheads from the Royal Cemetery of Ur; stats in db/canon/arms.csv
tin_bronze_sickle_sword,Sickle-sword (tin bronze),weapon,the_empire,cast tin bronze,the palace smiths of the Empire,4,A,W4-B: the bronze sickle-sword inscribed for Adad-nirari I (Metropolitan Museum of Art); stats in db/canon/arms.csv
javelin,Javelin,weapon,river lands,copper head on a light wooden shaft,the coppersmiths of the river cities,1,A,W4-B: the Standard of Ur (quivers of javelins on the battle-wagons); stats in db/canon/arms.csv
composite_bow,Composite bow,weapon,the_empire,"wood, horn and sinew glued in layers",the bowyers of the Empire,3,A,W4-B: the Victory Stele of Naram-Sin (the king bears the composite bow); stats in db/canon/arms.csv
sling,Sling,weapon,river lands,braided wool or reed cord with a pouch,every herdsman's own hands,1,A,W4-B: clay sling bullets by the thousand at Tell Hamoukar (c. 3500 BC); stats in db/canon/arms.csv
arrow,Arrow,ammunition,the_empire,reed shaft with a copper or flint head,the fletchers of the river cities,1,A,W4-B: reed-shafted arrows with copper and flint heads in the Bronze Age Near East; ammo for arms.csv composite_bow
sling_bullet,Sling bullet,ammunition,river lands,shaped and fired clay,every herdsman's own hands,1,A,W4-B: clay sling bullets by the thousand at Tell Hamoukar (c. 3500 BC); ammo for arms.csv sling
tower_shield,Great rectangular shield,shield,river lands,leather over a wooden frame studded with bosses,the leather-workers of the river cities,2,A,W4-B: Stele of the Vultures (the Lagash phalanx behind great rectangular shields); stats in db/canon/arms.csv
round_hide_shield,Round hide shield of the hill peoples,shield,the_barbarians,stretched hide over a wooden hoop,the hill peoples of the east,1,INVENTED,"INVENTED (W4-B; D-018, D-021): cultural shield; ledger docs/proposals/invented-ledger-combat.md #3"
reed_wicker_shield,Woven reed shield of the southern marshes,shield,neo_sumerian_rebellion,woven marsh reed,the reed-weavers of the southern marshes,1,INVENTED,"INVENTED (W4-B; D-018, D-021): cultural shield; ledger docs/proposals/invented-ledger-combat.md #3"
leather_cap,Leather cap,armour,river lands,boiled leather,the leather-workers of the river cities,1,INVENTED,INVENTED (W4-B; D-018): ledger docs/proposals/invented-ledger-combat.md #4; stats in db/canon/arms.csv
copper_helmet,Copper helmet,armour,river lands,beaten copper over a padded lining,the coppersmiths of the river cities,3,A,W4-B: the copper helmets of the soldiers of the Royal Cemetery of Ur (the Great Death Pit); stats in db/canon/arms.csv
quilted_linen_tunic,Quilted linen tunic,armour,river lands,layered and quilted linen,the weavers of the river cities,1,INVENTED,INVENTED (W4-B; D-018): ledger docs/proposals/invented-ledger-combat.md #4; stats in db/canon/arms.csv
studded_leather_cloak,Leather cloak studded with metal discs,armour,river lands,leather set with copper discs,the leather-workers of the river cities,2,A,W4-B: the Standard of Ur (cloaks set with metal discs); stats in db/canon/arms.csv
copper_scale_coat,Scale coat (copper-bronze scales on leather),armour,the_empire,hundreds of copper-bronze scales laced to leather,the palace armourers of the Empire,4,A,W4-B: the bronze armour scales and scale-coat inventories of Nuzi (Late Bronze Age); stats in db/canon/arms.csv
leather_leg_wraps,Leather leg wraps,armour,river lands,leather strips bound over wool,the leather-workers of the river cities,1,INVENTED,INVENTED (W4-B; D-018): ledger docs/proposals/invented-ledger-combat.md #4; stats in db/canon/arms.csv
healing_herbs,Healing herbs and plaster,medicine,river lands,"pounded herbs, oil and beer dregs bound on as a plaster",the physicians (asû) of the river cities,2,A,"W4-B: the Sumerian medical tablet from Nippur (late 3rd millennium BC — plasters of pounded plants, oil and beer bound onto the wound); the asû as herbal physician; used by kernel Combat treat_wounds"
linen_bandage,Linen bandage,medicine,river lands,strips of linen,the weavers of the river cities,1,A,W4-B: bandaging with linen strips and plasters in Old Babylonian medical texts; used by kernel Combat treat_wounds (binding stops bleeding)
