Name,name,group,attribute,grows_by,tag,source_ref
metalwork,Metalwork,craft,strength,station:smithing_hearth,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); items.csv copper_ingots/tin/bronze_sickle (mechanics.md row 29 material tiers)"
bargaining,Bargaining,commerce,presence,verb:trade,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); mechanics.md row 8 (prices from supply, standing, skill, language)"
appraisal,Appraisal,commerce,perception,verb:trade,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); the market scale: silver by weight (Types.hpp Silver; items.csv price_band)"
persuasion,Persuasion,commerce,presence,verb:sell,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); dialogue and dealing (dialogues.csv); talking a buyer round"
scribal_arts,Scribal arts (reading and writing),letters,wits,verb:read,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); mechanics.md row 25 (reading unlocks texts); people.csv lu_nanna_scribe; the tablet house"
reckoning,Reckoning,letters,wits,verb:trade,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); the scribe's sexagesimal accounts; seed loans (schedules.csv scribe_sowing_seed_loans)"
medicine,Medicine,letters,wits,verb:treat,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); game-design §8.2 (medicine as exorcism; the physician-vs-exorcist split); pantheons.csv eight_deities_of_medicine"
farming,Farming,field,endurance,,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); items.csv grain/wheat (the fields of the river lands; notes L57); people.csv field hand"
herding,Herding,field,endurance,,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); schedules.csv herdsman rows; items.csv wool, pack_donkey"
fishing,Fishing,field,perception,verb:fish,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); items.csv fish; schedules.csv fishermen_morning_tide"
hunting,Hunting,field,perception,verb:hunt,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); the wild lands beyond the cities (DECISIONS.md D-021)"
sailing,Sailing and boating,field,agility,verb:travel_by_boat,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); the migration by boat and the sea trade of the City of the Moon (mechanics.md row 31)"
stealth,Stealth,field,agility,verb:crime_unseen,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); the crime pipeline's witnesses (city-life §2): a deed nobody saw"
survival,Survival (rationing; knowing what is safe to eat),field,endurance,verb:eat;verb:travel_wild,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); mechanics.md rows 20 & 28 (hunger, thirst, rations, famine); the drought (notes L15)"
rites,Rites,sacred,presence,rite:the two-waters worship;rite:hymns,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); mechanics.md row 21 (the Sacred group: Rites per tradition); rites.csv sacrifice_fish_sea_gems, hymns_deity_names"
divination,Divination,sacred,perception,rite:divination,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); game-design §8.2 (the Divination skill); rites.csv barutu_haruspicy; divination_forms.csv"
incantation,Incantation,sacred,presence,rite:exorcisms,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); game-design §8.2 (the Incantation skill; exorcisms / zisurru); rites.csv zisurru_warding"
