id,name,group,wealth,w_m,d_m,storeys,look,tag,source_ref
exorcist,Exorcist's house,sacred,comfortable,9,8,2,amulet racks incense and threshold figurines,INVENTED,"D-025; world-art-plan §4.2"
moon_pool,The Moon Pool,sacred,sacred,16,16,0,a stepped basin where salt and fresh water meet,INVENTED,"D-025; docs/city-of-the-moon.md §2; notes L57"
street_shrine,Street shrine,sacred,civic,3,2,0,a niche with a figurine and lamps,INVENTED,"D-025; world-art-plan §4.2"
granary,Granary,civic,civic,10,10,1,domed silos with clay sealings on pegs,INVENTED,"D-025; world-art-plan §4.2"
scribal_school,The tablet school,learning,comfortable,16,12,2,tablet shelves clay bins and pupils' benches,INVENTED,"D-025; world-art-plan §4.2"
archive,Tablet archive,learning,civic,12,9,2,shelves of tablets behind a sealed door,INVENTED,"D-025; docs/city-of-the-moon.md §2"
star_terrace,The Star Terrace,learning,civic,12,12,3,a stepped roof platform with a gnomon,INVENTED,"D-025; D-025 astrology; world-art-plan §4.2"
lighthouse,The Great Lighthouse,monument,civic,14,14,6,square base octagon middle round top and a fire bowl,INVENTED,"D-025; buildings.csv great_lighthouse; notes L52"
keepers_house,Lighthouse keepers' house,civic,modest,9,7,2,a fuel store of reed bundles and bitumen,INVENTED,"D-025; world-art-plan §4.4"
cliff_shrine,Shrine of Enki,sacred,sacred,6,6,1,a water lord's shrine above the sea,INVENTED,"D-025; D-016 (Enki god of magic)"
wharf,The lagoon wharf,trade,civic,26,8,0,berths bollards and moored ships,INVENTED,"D-025; places.csv lighthouse_wharf_place"
sea_gate,The sea gate,civic,civic,10,8,2,a gate onto the quay with a customs table,INVENTED,"D-025; world-art-plan §4.2"
fish_market,Fish market,trade,modest,12,8,0,fish on reed mats gulls and dogs waiting,INVENTED,"D-025; world-art-plan §4.2"
divers_hut,Sea-gem divers' hut,home,poor,6,5,1,reed hut with baskets of shells and sea gems,INVENTED,"D-025; D-016 (sea gems)"
customs_house,Customs house,civic,civic,11,9,2,sealed bales and a scribe at a table,INVENTED,"D-025; world-art-plan §4.2"
warehouse,Merchant warehouse,trade,comfortable,14,9,1,sealed jars and bales stacked to the rafters,INVENTED,"D-025; world-art-plan §4.2"
mudhif,Reed guest hall (mudhif),home,civic,14,6,1,a great arched reed hall,INVENTED,"D-025; world-art-plan §4.1"
reed_house,Reed house on stilts,home,poor,6,5,1,arched reed bundles nets and a canoe,INVENTED,"D-025; world-art-plan §4.1"
floating_shrine,Floating shrine,sacred,sacred,5,5,0,a reed platform shrine on the water,INVENTED,"D-025; docs/city-of-the-moon.md §2"
council_hall,The Prophet's council hall,civic,elite,24,18,2,a painted-palm-column hall and a throne dais,INVENTED,"D-025; notes L52 (capitol of the Prophet)"
envoys_house,Envoys' house,civic,comfortable,12,10,2,guest rooms for the southern city-states' envoys,INVENTED,"D-025; notes L52"
rebel_barracks,Rebel barracks and yard,civic,modest,18,12,1,a training yard spear racks and banners,INVENTED,"D-025; notes L19;L52"
imperial_offices,Old imperial offices,civic,comfortable,14,10,2,half abandoned half looted,INVENTED,"D-025; notes L15"
hearing_court,Hearing court and holding room,civic,civic,14,10,1,a judges' bench and a barred holding room,INVENTED,"D-025; city-life §3.3"
migrant_tent,Migrant tent,home,poor,7,5,0,black goat-hair tent and dung fire,INVENTED,"D-025; notes L21"
cattle_pen,Cattle pen,trade,poor,12,9,0,reed fences cattle and herdsmen,INVENTED,"D-025; notes L21"
warchief_tent,Warchief's envoy tent,civic,comfortable,10,8,0,a great tent with horse tack and felt,INVENTED,"D-025; notes L56"
necropolis,The Garden of Tombs,sacred,civic,26,20,0,grave mounds brick vaults and offering tubes,INVENTED,"D-025; docs/city-of-the-moon.md §2"
tomb_keeper,Tomb keeper's hut,home,poor,6,5,1,a lamp and a register of the dead,INVENTED,"D-025; docs/city-of-the-moon.md §2"
field,Fields,rural,civic,40,30,0,strip fields and canals,INVENTED,"D-025; places.csv fields_beyond_the_gate_place"
pasture,Pasture,rural,civic,40,30,0,grazing land,INVENTED,"D-025; places.csv grazing_lands_place"
home_hut,Poor one-room house,home,poor,6,5,1,rough plaster a reed door and a quern outside,INVENTED,"D-025; world-art-plan §4.1"
home_tenement,Tenement court,home,poor,12,10,2,many doors round one shared court and oven,INVENTED,"D-025; world-art-plan §4.1"
home_modest,Modest house,home,modest,8,7,1,plastered with a roof shelter,INVENTED,"D-025; buildings.csv mudbrick_house_modest"
home_artisan,Artisan house-workshop,home,modest,9,8,2,shop in front and family behind,INVENTED,"D-025; world-art-plan §4.1"
home_courtyard,Courtyard house,home,comfortable,11,10,2,a court with well shrine and palm,INVENTED,"D-025; buildings.csv mudbrick_house_courtyard"
home_merchant,Merchant house,home,comfortable,13,11,2,a cedar gallery painted door and storerooms,INVENTED,"D-025; world-art-plan §4.1"
home_elite,Elite house,home,elite,16,14,2,fired-brick plinth whitewash or cone mosaic and a garden,INVENTED,"D-025; world-art-plan §4.1"
home_foreign,Foreigners' lane house,home,modest,9,8,1,carpets hung out and a foreign god's niche,INVENTED,"D-025; world-art-plan §4.1"
