id,name,category,culture,material,producer,price_band,tag,source_ref,ui_category,weight_g,stack_max,spoil_days,flags
wool,Wool,raw staple,river lands,sheep fleece,the temple flocks of the south,1,A,the Lagash and Ur III temple-flock record (wool as the great institutional staple),material,500,50,0,
woolen_cloth,Woolen cloth,textile trade good,river lands,woven wool,the weaving workshops of the temples,2,A,the Ur III workshop record and the Old Assyrian karum trade (textiles as the caravan export),trade_good,800,20,0,
linen_cloth,Linen cloth,textile trade good,river lands,woven flax,the flax fields and temple weavers of the river cities,3,A,the Early Dynastic and Ur III record (flax linen as priestly and royal cloth),trade_good,600,20,0,
beer,Barley beer,staple drink,river lands,brewed barley,the city breweries (temple and palace),1,A,the Sumerian ration record (beer as the daily wage-ration; the Hymn to Ninkasi),drink,1000,20,5,
pottery,Plain pottery wares,everyday ware,river lands,wheel-thrown clay,the potters' quarters of every city,1,A,the archaeological record of the river cities (wheel-made plain wares as everyday containers),tool,1500,10,0,
copper_ingots,Copper ingots,metal trade good,river lands,raw copper,sea-borne imports up the Gulf (the City of the Moon's direct sea routes — wb §5),3,A,the Ur III and Mari trade record (copper of Magan and Dilmun shipped up the Gulf),material,2000,25,0,
tin,Tin,metal trade good,river lands,raw tin,overland caravans from the eastern mountains,4,A,the Old Assyrian karum record and the Mari archives (tin caravanned for bronze-making),material,1000,25,0,
bronze_sickle,Bronze sickle,tool,river lands,bronze (copper and tin),the bronzesmiths of the river cities,2,A,the archaeological record of the harvest (bronze sickles reaping the barley fields),tool,400,5,0,
lapis_lazuli,Lapis lazuli,luxury stone,river lands,deep-blue stone,overland from the eastern mountains through Mari's roads,5,A,the long-distance trade record (lapis of the eastern mountains traded through Mari and the river cities),treasure,100,50,0,
pack_donkey,Pack donkey,caravan animal,river lands,living animal,the plains' breeders and the caravan houses,3,A,the Old Assyrian karum record (donkey caravans linking the lands),animal,150000,1,0,animal
drought_ration_measure,Drought ration measure,ration,river lands,measured barley,the city granaries,1,INVENTED,authored glue; the drought that is breaking the world is canon (wb §4.1; notes L15;L104); the ration machinery per DECISIONS.md D-011 (economy constants),food,800,50,0,
moon_temple_offering_set,Offering basket of the temple of sun and moon,ritual good,city_of_the_moon,grain; dates; sesame oil; woolen cloth,the temple household of the City of the Moon,2,INVENTED,authored glue; the temple of sun and moon is canon (wb §5; notes L52); its offering composition is invented (its materials normalize to this table's ids: grain; dates; sesame_oil; woolen_cloth),ritual,3000,5,0,
tribute_gems,Tribute gems,tribute,the_empire,gems — the tribute basket's glitter,mined and gathered in the conquered lands,4,CANON,designer ruling 2026-09-25 (D-016),treasure,100,50,0,
tribute_fruits,Tribute fruits,tribute,the_empire,fruits of the conquered orchards,the conquered lands' orchards,3,CANON,designer ruling 2026-09-25 (D-016),food,1000,20,7,
tribute_white_liquid,The strange white liquid,tribute,the_empire,a bottle of a strange white liquid — the basket's mystery,(unwritten — the designer keeps it strange),5,CANON,designer ruling 2026-09-25 (D-016): 'gems and fruits and bottle of a strange white liquid',ritual,1000,5,0,
water,Fresh water,staple ingredient,river lands,water drawn from river or well,the rivers and wells of the river lands,1,A,Old Babylonian culinary recipe tablets (Yale Babylonian Collection; published by Jean Bottéro — water as the base of every broth and dough); T4 crafting chain (recipes.csv),drink,1000,20,0,
barley_flour,Barley flour,staple ingredient,river lands,barley ground fine,the mills and querns of the river cities,1,A,Ur III temple and palace ration lists and lexical lists (barley ground in stone querns for bread; db/canon/foods.csv barley_bread),ingredient,800,50,90,
malted_barley,Malted barley,staple ingredient,river lands,sprouted and dried barley,the maltsters of the river cities,1,A,Sumerian Hymn to Ninkasi (Old Babylonian copies; barley malted for brewing; db/canon/foods.csv barley_beer),ingredient,800,50,90,
bappir,Bappir (beer-bread),staple ingredient,river lands,part-baked malted barley loaves,the bakeries and breweries of the river cities,1,A,Sumerian Hymn to Ninkasi (Old Babylonian copies; malted barley part-baked into bappir loaves; db/canon/foods.csv barley_beer),ingredient,500,20,30,
bread,Barley bread,staple baked food,river lands,barley flour; water,the bakeries of the river cities,1,A,Ur III temple and palace ration lists (bread issued to labourers alongside beer; db/canon/foods.csv barley_bread),food,250,20,3,
quern,Stone quern,station,river lands,stone,the mills of the river cities,2,A,the archaeological record of the river cities (stone querns for grinding grain into flour; db/canon/foods.csv barley_bread),station_part,25000,1,0,fixture
oven,Clay oven,station,river lands,fired clay,the bakeries of the river cities,2,A,Ur III temple and palace ration lists (flat loaves baked in clay ovens; db/canon/foods.csv barley_bread),station_part,80000,1,0,fixture
brewing_vat,Brewing vat,station,river lands,fired clay or wood,the breweries of the river cities,3,A,Sumerian Hymn to Ninkasi (Old Babylonian copies; beer fermented in great vats; db/canon/foods.csv barley_beer),station_part,30000,1,0,fixture
zisurru_incantation_tablet,Zisurru incantation tablet,ritual text,river lands,inscribed clay tablet,the tablet house's copyists for the temple's exorcist-physicians,3,INVENTED,"INVENTED (K-1; D-018): the text a performer reads to learn rites.csv zisurru_warding (wb §8.1; notes L198); grounded in the real Mesopotamian exorcists' incantation tablets that prescribe flour circles (zisurru) — the notes import the practice; teaching link in rite_teachings.csv",document,200,1,0,document
clay_liver_model,Clay liver model,ritual text,river lands,fired clay modelled as a sheep's or goat's liver and inscribed with omens,the diviners' schools,3,A,"Old Babylonian clay liver models used to teach extispicy (e.g. the Sippar/Babylon model, British Museum BM 92668; the Mari liver models) — the notes import barutu (wb §8.1-8.2; notes L192;L202); teaching link in rite_teachings.csv (INVENTED, K-1)",document,400,1,0,document
a_burned_goat's_liver,A burned goat's liver,divination material,river lands,the liver of a sacrificed goat,the temple's herds and the diviner's own sacrifice,2,CANON,"wb §8.2; notes L202 (the liver of a burned goat predicts the future — Barutu); id per the rites-material normalization (DECISIONS.md D-011; rites.csv barutu_haruspicy)",ritual,800,5,1,
clay,Potter's clay,raw material,river lands,river clay,the river banks and canal cuts,1,INVENTED,INVENTED (W4-A; D-018): the pottery skill's raw material (skills.csv pottery; recipes.csv throw_pot); river clay is the Mesopotamian potter's material (A: the Uruk and Ur pottery record),material,2000,25,0,
potters_wheel,Potter's wheel,station,river lands,fired clay and wood,the potters' houses,3,INVENTED,INVENTED (W4-A; D-018): station for recipes.csv throw_pot; the potter's wheel is attested in Mesopotamia from the Uruk period (A),station_part,40000,1,0,fixture
loom,Loom,station,river lands,wood and cord,the weavers' houses,3,INVENTED,INVENTED (W4-A; D-018): station for recipes.csv weave_woolen_cloth; the Ur III weaving workshops (A),station_part,20000,1,0,fixture
smithing_hearth,Smithing hearth,station,river lands,"clay crucible, bellows and hearth",the metal workshops,4,INVENTED,INVENTED (W4-A; D-018): station for recipes.csv cast_bronze_sickle; tin-bronze casting (mechanics.md row 29 material tiers),station_part,100000,1,0,fixture
flint_dagger,Flint dagger,weapon,river lands,knapped flint on a wooden grip,the flint-knappers of the villages,1,A,"W4-B: flint knives beside copper in Chalcolithic and Early Bronze Age Mesopotamia; stats in db/canon/arms.csv",weapon,200,1,0,
copper_dagger,Copper dagger,weapon,river lands,cast copper,the coppersmiths of the river cities,2,A,"W4-B: Royal Cemetery of Ur (copper daggers among the grave goods); stats in db/canon/arms.csv",weapon,300,1,0,
iron_dagger,Iron dagger (a prestige curiosity),weapon,the_empire,iron with a gold-sheathed hilt,a far-off smith of the northern mountains — traded as a marvel,5,A,"W4-B: the gold-hilted iron dagger of Alaca Höyük; Old Assyrian Kültepe letters (amūtum iron dearer than silver); stats in db/canon/arms.csv",weapon,300,1,0,
arsenical_bronze_axe,Socketed axe (arsenical bronze),weapon,river lands,arsenical bronze on a wooden haft,the coppersmiths of the river cities,2,A,"W4-B: Royal Cemetery of Ur (socketed axe-heads); the Standard of Ur; stats in db/canon/arms.csv",weapon,1400,1,0,
stone_mace,Stone-headed mace,weapon,river lands,pear-shaped stone head on a wooden haft,the stone-workers of the river cities,1,A,"W4-B: pear-shaped stone mace-heads of the Uruk and Early Dynastic periods; stats in db/canon/arms.csv",weapon,1200,1,0,
copper_mace,Copper-headed mace,weapon,river lands,cast copper head on a wooden haft,the coppersmiths of the river cities,2,A,"W4-B: cast copper mace-heads of the Chalcolithic Near East (Nahal Mishmar); stats in db/canon/arms.csv",weapon,1500,1,0,
copper_spear,Copper-headed spear,weapon,river lands,copper head on a long wooden shaft,the coppersmiths of the river cities,2,A,"W4-B: Stele of the Vultures (the Lagash phalanx); copper spearheads from the Royal Cemetery of Ur; stats in db/canon/arms.csv",weapon,1800,1,0,
tin_bronze_sickle_sword,Sickle-sword (tin bronze),weapon,the_empire,cast tin bronze,the palace smiths of the Empire,4,A,"W4-B: the bronze sickle-sword inscribed for Adad-nirari I (Metropolitan Museum of Art); stats in db/canon/arms.csv",weapon,1100,1,0,
javelin,Javelin,weapon,river lands,copper head on a light wooden shaft,the coppersmiths of the river cities,1,A,"W4-B: the Standard of Ur (quivers of javelins on the battle-wagons); stats in db/canon/arms.csv",weapon,800,1,0,
composite_bow,Composite bow,weapon,the_empire,"wood, horn and sinew glued in layers",the bowyers of the Empire,3,A,"W4-B: the Victory Stele of Naram-Sin (the king bears the composite bow); stats in db/canon/arms.csv",weapon,1000,1,0,
sling,Sling,weapon,river lands,braided wool or reed cord with a pouch,every herdsman's own hands,1,A,"W4-B: clay sling bullets by the thousand at Tell Hamoukar (c. 3500 BC); stats in db/canon/arms.csv",weapon,100,1,0,
arrow,Arrow,ammunition,the_empire,reed shaft with a copper or flint head,the fletchers of the river cities,1,A,"W4-B: reed-shafted arrows with copper and flint heads in the Bronze Age Near East; ammo for arms.csv composite_bow",ammunition,25,50,0,
sling_bullet,Sling bullet,ammunition,river lands,shaped and fired clay,every herdsman's own hands,1,A,"W4-B: clay sling bullets by the thousand at Tell Hamoukar (c. 3500 BC); ammo for arms.csv sling",ammunition,60,50,0,
tower_shield,Great rectangular shield,shield,river lands,leather over a wooden frame studded with bosses,the leather-workers of the river cities,2,A,"W4-B: Stele of the Vultures (the Lagash phalanx behind great rectangular shields); stats in db/canon/arms.csv",shield,7000,1,0,
round_hide_shield,Round hide shield of the hill peoples,shield,the_barbarians,stretched hide over a wooden hoop,the hill peoples of the east,1,INVENTED,"INVENTED (W4-B; D-018, D-021): cultural shield; ledger docs/proposals/invented-ledger-combat.md #3",shield,3000,1,0,
reed_wicker_shield,Woven reed shield of the southern marshes,shield,neo_sumerian_rebellion,woven marsh reed,the reed-weavers of the southern marshes,1,INVENTED,"INVENTED (W4-B; D-018, D-021): cultural shield; ledger docs/proposals/invented-ledger-combat.md #3",shield,2000,1,0,
leather_cap,Leather cap,armour,river lands,boiled leather,the leather-workers of the river cities,1,INVENTED,"INVENTED (W4-B; D-018): ledger docs/proposals/invented-ledger-combat.md #4; stats in db/canon/arms.csv",armour,400,1,0,
copper_helmet,Copper helmet,armour,river lands,beaten copper over a padded lining,the coppersmiths of the river cities,3,A,"W4-B: the copper helmets of the soldiers of the Royal Cemetery of Ur (the Great Death Pit); stats in db/canon/arms.csv",armour,1500,1,0,
quilted_linen_tunic,Quilted linen tunic,armour,river lands,layered and quilted linen,the weavers of the river cities,1,INVENTED,"INVENTED (W4-B; D-018): ledger docs/proposals/invented-ledger-combat.md #4; stats in db/canon/arms.csv",armour,1500,1,0,
studded_leather_cloak,Leather cloak studded with metal discs,armour,river lands,leather set with copper discs,the leather-workers of the river cities,2,A,"W4-B: the Standard of Ur (cloaks set with metal discs); stats in db/canon/arms.csv",armour,4000,1,0,
copper_scale_coat,Scale coat (copper-bronze scales on leather),armour,the_empire,hundreds of copper-bronze scales laced to leather,the palace armourers of the Empire,4,A,"W4-B: the bronze armour scales and scale-coat inventories of Nuzi (Late Bronze Age); stats in db/canon/arms.csv",armour,12000,1,0,
leather_leg_wraps,Leather leg wraps,armour,river lands,leather strips bound over wool,the leather-workers of the river cities,1,INVENTED,"INVENTED (W4-B; D-018): ledger docs/proposals/invented-ledger-combat.md #4; stats in db/canon/arms.csv",armour,1000,1,0,
healing_herbs,Healing herbs and plaster,medicine,river lands,"pounded herbs, oil and beer dregs bound on as a plaster",the physicians (asû) of the river cities,2,A,"W4-B: the Sumerian medical tablet from Nippur (late 3rd millennium BC — plasters of pounded plants, oil and beer bound onto the wound); the asû as herbal physician; used by kernel Combat treat_wounds",medicine,100,20,30,
linen_bandage,Linen bandage,medicine,river lands,strips of linen,the weavers of the river cities,1,A,"W4-B: bandaging with linen strips and plasters in Old Babylonian medical texts; used by kernel Combat treat_wounds (binding stops bleeding)",medicine,50,20,0,
