id,name,role,city,faction,home_place,work_place,tag,source_ref
ur_lisi_brewer,Ur-Lisi,brewer,city_of_the_moon,southern_city_states_alliance,,brewery_tavern_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:ur_lisi (A); role per schedules.csv brewer_mashes_the_malt; owns places.csv brewery_tavern_place
ur_enlil_tavern_keeper,Ur-Enlil,tavern keeper,city_of_the_moon,southern_city_states_alliance,,brewery_tavern_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:ur_enlil (A); role per schedules.csv tavern_opens_at_dusk; works places.csv brewery_tavern_place
lu_nanna_scribe,Lu-Nanna,scribe,city_of_the_moon,southern_city_states_alliance,scribes_house_place,scribes_house_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:lu_nanna (A); role per schedules.csv scribes_open_the_tablet_house; owns places.csv scribes_house_place
lu_dingira_priest_moon,Lu-dingira,priest of the moon,city_of_the_moon,,,temple_front_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:lu_dingira (A); role per schedules.csv moon_temple_evening_rite; works places.csv temple_front_place; grounded in buildings.csv temple_of_sun_and_moon (CANON)
enmenanna_priestess_moon,Enmenanna,priest of the moon,city_of_the_moon,,priestess_house_place,temple_front_place,INVENTED,"INVENTED (D-018); name db/canon/names.csv:enmenanna (A, attested en-priestess of Nanna); works places.csv temple_front_place, owns places.csv priestess_house_place; the debtor priestess of quests.csv the_priestess_debt (a priestess of the temple owes what she cannot be seen chasing)"
shamash_hazir_cookshop,Shamash-hazir,cook-shop keeper,city_of_the_moon,southern_city_states_alliance,,cookshop_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:shamash_hazir (A); role per schedules.csv cookshops_noon_meal; works places.csv cookshop_place
ea_nasir_grain_trader,Ea-nasir,market trader,city_of_the_moon,southern_city_states_alliance,,stall_grain_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:ea_nasir (A); role per schedules.csv market_stalls_set_out; works/owns places.csv stall_grain_place; the grain merchant of quests.csv the_priestess_debt who laughs at temple marks
waqurtum_salt_oil_trader,Waqurtum,market trader,city_of_the_moon,southern_city_states_alliance,,stall_salt_oil_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:waqurtum (A); role per schedules.csv market_peaks_in_the_morning; owns places.csv stall_salt_oil_place
baranamtarra_pottery_trader,Baranamtarra,market trader,city_of_the_moon,southern_city_states_alliance,,stall_pottery_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:baranamtarra (A); role per schedules.csv market_peaks_in_the_morning; owns places.csv stall_pottery_place
iltani_cloth_trader,Iltani,market trader,city_of_the_moon,southern_city_states_alliance,,stall_cloth_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:iltani (A); role per schedules.csv market_peaks_in_the_morning; owns places.csv stall_cloth_place
matatum_produce_trader,Matatum,market trader,city_of_the_moon,southern_city_states_alliance,,stall_produce_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:matatum (A); role per schedules.csv market_stalls_set_out; owns places.csv stall_produce_place
nammahani_potter,Nammahani,craftsman,city_of_the_moon,southern_city_states_alliance,potters_house_place,potters_house_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:nammahani (A); role per schedules.csv workshops_full_work; owns places.csv potters_house_place
kunshiatum_weaver,Kunshiatum,craftsman,city_of_the_moon,southern_city_states_alliance,weavers_house_place,weavers_house_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:kunshiatum (A); role per schedules.csv workshops_full_work; owns places.csv weavers_house_place
geme_nanna_water_carrier,Geme-Nanna,water-carrier,city_of_the_moon,southern_city_states_alliance,,street_well_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:geme_nanna (A); role per schedules.csv water_carriers_draw; works places.csv street_well_place
geme_shara_water_carrier,Geme-Shara,water-carrier,city_of_the_moon,southern_city_states_alliance,,street_well_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:geme_shara (A); role per schedules.csv water_carrier_rains_short_draw; works places.csv street_well_place
huzalatum_household_elder,Huzalatum,household,city_of_the_moon,southern_city_states_alliance,elder_house_1_place,,INVENTED,INVENTED (D-018); name db/canon/names.csv:huzalatum (A); role per schedules.csv evening_meal_and_lamps; owns places.csv elder_house_1_place
amat_shamash_household_elder,Amat-Shamash,household,city_of_the_moon,southern_city_states_alliance,elder_house_2_place,,INVENTED,INVENTED (D-018); name db/canon/names.csv:amat_shamash (A); role per schedules.csv evening_meal_and_lamps; owns places.csv elder_house_2_place
beltani_household,Beltani,household,city_of_the_moon,southern_city_states_alliance,bakers_house_place,,INVENTED,"INVENTED (D-018); name db/canon/names.csv:beltani (A); role per schedules.csv evening_meal_and_lamps; the baker's wife, lives at places.csv bakers_house_place"
erishti_aya_household,Erishti-Aya,household,city_of_the_moon,southern_city_states_alliance,millers_house_place,,INVENTED,"INVENTED (D-018); name db/canon/names.csv:erishti_aya (A); role per schedules.csv evening_meal_and_lamps; the miller's daughter, lives at places.csv millers_house_place"
lamassani_household,Lamassani,household,city_of_the_moon,southern_city_states_alliance,weavers_house_place,,INVENTED,"INVENTED (D-018); name db/canon/names.csv:lamassani (A); role per schedules.csv evening_meal_and_lamps; the weaver's husband, lives at places.csv weavers_house_place"
kubatum_household,Kubatum,household,city_of_the_moon,southern_city_states_alliance,elder_house_1_place,,INVENTED,INVENTED (D-018); name db/canon/names.csv:kubatum (A); role per schedules.csv evening_meal_and_lamps; elder kin at places.csv elder_house_1_place
ishtar_ummi_household,Ishtar-ummi,household,city_of_the_moon,southern_city_states_alliance,elder_house_2_place,,INVENTED,INVENTED (D-018); name db/canon/names.csv:ishtar_ummi (A); role per schedules.csv evening_meal_and_lamps; child at places.csv elder_house_2_place
ur_ningirsu_herdsman,Ur-Ningirsu,herdsman,city_of_the_moon,southern_city_states_alliance,,grazing_lands_place,INVENTED,INVENTED (D-018; D-020); name db/canon/names.csv:ur_ningirsu (A); role per schedules.csv herds_out_to_pasture;herds_home_before_dark; works places.csv grazing_lands_place
ibni_shamash_priest_sun,Ibni-Shamash,priest of the sun,city_of_the_moon,,,temple_front_place,INVENTED,INVENTED (D-018; D-020); name db/canon/names.csv:ibni_shamash (A); role per schedules.csv sun_temple_morning_rite; works places.csv temple_front_place; grounded in buildings.csv temple_of_sun_and_moon (CANON)
nur_shamash_paladin,Nur-Shamash,paladin,city_of_the_moon,retributors_of_utu,,temple_front_place,INVENTED,INVENTED (D-018; D-020); name db/canon/names.csv:nur_shamash (A); role per schedules.csv paladin_dawn_drill; a Retributor of Utu (factions.csv retributors_of_utu) posted in the City of the Moon as in dialogues.csv breaking_retributor_of_utu; drills at places.csv temple_front_place (the sun's temple; no guild yard on the street)
taribum_fisherman,Taribum,fisherman,city_of_the_moon,southern_city_states_alliance,,lighthouse_wharf_place,INVENTED,INVENTED (D-018; D-020); name db/canon/names.csv:taribum (A); role per schedules.csv fishermen_morning_tide; works places.csv lighthouse_wharf_place
geme_enlil_field_hand,Geme-Enlil,field hand,city_of_the_moon,southern_city_states_alliance,,fields_beyond_the_gate_place,INVENTED,INVENTED (D-018; D-020); name db/canon/names.csv:geme_enlil (A); role per schedules.csv field_hands_first_light; works places.csv fields_beyond_the_gate_place
lu_enlilla_lighthouse_keeper,Lu-Enlilla,lighthouse keeper,city_of_the_moon,,,great_lighthouse_place,INVENTED,INVENTED (D-018; D-020); name db/canon/names.csv:lu_enlilla (A); role per schedules.csv lighthouse_harbor_watch;lighthouse_fire_through_night; works places.csv great_lighthouse_place; grounded in buildings.csv great_lighthouse (CANON)
ur_dumuzida_dockworker,Ur-Dumuzida,dockworker,city_of_the_moon,southern_city_states_alliance,,lighthouse_wharf_place,INVENTED,INVENTED (D-018; D-020); name db/canon/names.csv:ur_dumuzida (A); role per schedules.csv dockworkers_outbound_cargo; works places.csv lighthouse_wharf_place
urlugaledina_physician,Urlugaledina,physician,city_of_the_moon,temple_of_sun_and_moon,physicians_house_place,temple_front_place,INVENTED,"INVENTED (W4-B; D-018, D-021); name db/canon/names.csv:urlugaledina (A); role per schedules.csv physician_*; the street's asû under Gula (deities.csv gula) — binds wounds and lays on herbs (kernel Combat treat_wounds 'healer'); owns places.csv physicians_house_place"
nur_ea_smith,Nur-Ea,craftsman,city_of_the_moon,,smithy_place,smithy_place,INVENTED,"INVENTED (W4-B; D-018, D-021); name db/canon/names.csv:nur_ea (INVENTED); role per schedules.csv workshops_full_work (the forges at full work); the street's coppersmith — mends and recasts arms (kernel Combat repair/recast); owns places.csv smithy_place"
