id,city,district,kind,building_id,owner_person_id,name,description,quarter,typology,wealth,x_m,y_m,yaw_deg,w_m,d_m,tag,source_ref
stall_bronze_goods_place,city_of_the_moon,The Crescent Market,market stall,market_stall,,The Bronze Goods Stall,A counter under a dyed awning with the goods on show.,crescent_market,market_stall,modest,176.5,107.4,36.0,5,4,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv market_stall
cookshop_place,city_of_the_moon,The Crescent Market,cook-shop,market_stall,shamash_hazir_cookshop,The Noon Cook-shop,"Serves the noon meal to day-laborers, paid in bread and beer and barley.",crescent_market,cookshop,modest,115.8,46.4,78.0,7,6,INVENTED,INVENTED (D-018); schedules.csv cookshops_noon_meal
bakery_place,city_of_the_moon,The Crescent Market,bakery,bakery,ur_shara_baker,The Street Bakery,Clay ovens fired before dawn; the street's barley bread comes out at sunrise.,crescent_market,bakery,modest,118.6,55.4,73.8,8,7,INVENTED,INVENTED (D-018); schedules.csv baker_fires_the_oven; foods.csv barley_bread
weights_house_place,city_of_the_moon,The Crescent Market,house of weights,,,The House of Weights,Official scales and duck-shaped stone weights.,crescent_market,weights_house,civic,122.6,65.7,68.8,10,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv weights_house
market_scribe_booth_place,city_of_the_moon,The Crescent Market,scribe's booth,,,The Scribe's Booth by the Well,A writing table by the well for hire.,crescent_market,scribe_booth,modest,182.0,111.1,32.5,5,4,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv scribe_booth
millers_house_place,city_of_the_moon,The Crescent Market,house,mudbrick_house_modest,shesh_kalla_miller,The Miller's House,"The miller's family home, quern-dust on the threshold.",crescent_market,mill,modest,126.5,75.9,63.8,8,7,INVENTED,INVENTED (D-018)
bakers_house_place,city_of_the_moon,The Crescent Market,house,mudbrick_house_modest,ur_shara_baker,The Baker's House,"The baker's family home, warm with the smell of the ovens next door.",crescent_market,home_modest,modest,131.3,84.7,59.2,8,7,INVENTED,INVENTED (D-018)
market_tenement_place,city_of_the_moon,The Crescent Market,tenement court,,,The Market Tenement,Many doors round one shared court and oven.,crescent_market,home_tenement,poor,139.2,93.9,53.8,12,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_tenement
crescent_market_home_1_place,city_of_the_moon,The Crescent Market,artisan house-workshop,,,Artisan house-workshop,Shop in front and family behind.,crescent_market,home_artisan,modest,146.4,104.3,48.0,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_artisan
crescent_market_home_2_place,city_of_the_moon,The Crescent Market,artisan house-workshop,,,Artisan house-workshop,Shop in front and family behind.,crescent_market,home_artisan,modest,154.1,112.2,43.0,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_artisan
crescent_market_home_3_place,city_of_the_moon,The Crescent Market,artisan house-workshop,,,Artisan house-workshop,Shop in front and family behind.,crescent_market,home_artisan,modest,162.4,119.3,38.0,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_artisan
crescent_market_home_4_place,city_of_the_moon,The Crescent Market,artisan house-workshop,,,Artisan house-workshop,Shop in front and family behind.,crescent_market,home_artisan,modest,171.4,125.7,33.0,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_artisan
smithy_place,city_of_the_moon,The smiths' lane,smithy,mudbrick_house_modest,nur_ea_smith,The Coppersmith's Forge,"A walled yard with a clay furnace, bellows of goatskin and crucibles; blades are mended and broken bronze recast here.",smiths_lane,foundry,modest,88.3,46.7,80.0,10,8,INVENTED,"INVENTED (W4-B; D-018, D-021): repair and recasting of arms (kernel Combat repair/recast); ledger docs/proposals/invented-ledger-combat.md #7"
armourer_place,city_of_the_moon,The smiths' lane,armourer,,,The Armourer's Workshop,Scale plates being laced and hide shields drying.,smiths_lane,armourer,modest,91.2,57.8,75.8,9,7,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv armourer
bowyer_place,city_of_the_moon,The smiths' lane,bowyer and fletcher,,,The Bowyer and Fletcher,Spear shafts bows on pegs feathers and arrowheads.,smiths_lane,bowyer,modest,94.7,67.9,71.8,8,6,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv bowyer
potters_house_place,city_of_the_moon,The smiths' lane,house,mudbrick_house_modest,nammahani_potter,The Potter's House,"The potter's home and yard, stacked with drying greenware.",smiths_lane,potter,modest,97.3,79.1,67.5,11,9,INVENTED,INVENTED (D-018)
weavers_house_place,city_of_the_moon,The smiths' lane,house,mudbrick_house_modest,kunshiatum_weaver,The Weaver's House,"The weaver's home, a loom set up in the courtyard shade.",smiths_lane,dyer_weaver,modest,103.1,90.5,62.8,10,8,INVENTED,INVENTED (D-018)
oil_press_place,city_of_the_moon,The smiths' lane,oil and perfume press,,,The Oil and Perfume Press,A beam press and a scented court.,smiths_lane,oil_press,comfortable,108.7,100.5,58.5,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv oil_press
jeweller_place,city_of_the_moon,The smiths' lane,jeweller and seal-cutter,,,The Jeweller and Seal-Cutter,A shady booth of lapis carnelian and cylinder seals.,smiths_lane,jeweller,comfortable,71.1,49.8,80.0,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv jeweller
physicians_house_place,city_of_the_moon,The smiths' lane,house,mudbrick_house_modest,urlugaledina_physician,The Physician's House,"The asû's house: bundles of drying herbs under the eaves, jars of oil and plaster, a bench where the wounded are laid and bound.",smiths_lane,physician,comfortable,74.5,59.0,76.8,9,8,INVENTED,"INVENTED (W4-B; D-018, D-021): the street's healer (kernel Combat treat_wounds 'healer'); ledger docs/proposals/invented-ledger-combat.md #7"
smiths_lane_home_1_place,city_of_the_moon,The smiths' lane,artisan house-workshop,,,Artisan house-workshop,Shop in front and family behind.,smiths_lane,home_artisan,modest,77.4,69.7,73.0,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_artisan
smiths_lane_home_2_place,city_of_the_moon,The smiths' lane,artisan house-workshop,,,Artisan house-workshop,Shop in front and family behind.,smiths_lane,home_artisan,modest,81.0,80.2,69.2,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_artisan
smiths_lane_home_3_place,city_of_the_moon,The smiths' lane,artisan house-workshop,,,Artisan house-workshop,Shop in front and family behind.,smiths_lane,home_artisan,modest,85.3,90.5,65.5,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_artisan
temple_front_place,city_of_the_moon,The Sacred Mound,temple,temple_of_sun_and_moon,,The Temple Front,"The street-facing porch of the temple of sun and moon, where the morning and evening offerings are sung and passers-by leave small gifts.",sacred_mound,ziggurat,sacred,240.0,160.0,0.0,46,64,INVENTED,INVENTED (D-018); buildings.csv temple_of_sun_and_moon (CANON); schedules.csv sun_temple_morning_rite;moon_temple_evening_rite
priestess_house_place,city_of_the_moon,The Sacred Mound,house,mudbrick_house_courtyard,enmenanna_priestess_moon,The Priestess's House,"Home of the temple's priestess, who owes a debt she cannot be seen chasing down herself.",sacred_mound,gipar,elite,191.3,120.9,25.8,16,12,INVENTED,INVENTED (D-018); quests.csv the_priestess_debt
moon_pool_place,city_of_the_moon,The Sacred Mound,the moon pool,,,The Moon Pool,A stepped basin where salt and fresh water meet.,sacred_mound,moon_pool,sacred,273.3,129.0,-17.0,16,16,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv moon_pool
temple_stores_place,city_of_the_moon,The Sacred Mound,temple stores,,,The Temple Stores,Sealed storerooms and a granary dome.,sacred_mound,temple_stores,civic,208.2,125.8,16.8,14,9,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv temple_stores
temple_kitchens_place,city_of_the_moon,The Sacred Mound,temple kitchens,,,The Temple Kitchens,Ovens and offering tables for the gods' meals.,sacred_mound,temple_kitchens,civic,287.4,119.3,-25.5,12,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv temple_kitchens
diviners_house_place,city_of_the_moon,The Sacred Mound,diviner's house,,,The Diviner's House,Clay liver models and a tethered sheep.,sacred_mound,diviner,comfortable,170.0,141.2,30.0,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv diviner
exorcists_house_place,city_of_the_moon,The Sacred Mound,exorcist's house,,,The Exorcist's House,Amulet racks incense and threshold figurines.,sacred_mound,exorcist,comfortable,179.7,146.4,25.5,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv exorcist
moon_niche_place,city_of_the_moon,The Sacred Mound,shrine,,,The Moon Niche,A small wayside niche facing the temple where residents leave offerings between the great rites.,sacred_mound,street_shrine,civic,219.1,124.9,11.2,3,2,INVENTED,INVENTED (D-018); wb §5 (temple of sun and moon); deities.csv nanna
street_granary_place,city_of_the_moon,The Sacred Mound,granary,,,The Street Granary,A small street-level granary holding the ration measure against the drought.,sacred_mound,granary,civic,190.4,150.9,20.8,10,10,INVENTED,INVENTED (D-018); items.csv drought_ration_measure; wb §4.1
sacred_mound_home_1_place,city_of_the_moon,The Sacred Mound,courtyard house,,,Courtyard house,A court with well shrine and palm.,sacred_mound,home_courtyard,comfortable,202.6,154.9,15.5,11,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_courtyard
sacred_mound_home_2_place,city_of_the_moon,The Sacred Mound,courtyard house,,,Courtyard house,A court with well shrine and palm.,sacred_mound,home_courtyard,comfortable,271.5,156.4,-13.0,11,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_courtyard
sacred_mound_home_3_place,city_of_the_moon,The Sacred Mound,courtyard house,,,Courtyard house,A court with well shrine and palm.,sacred_mound,home_courtyard,comfortable,284.4,152.8,-18.5,11,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_courtyard
sacred_mound_home_4_place,city_of_the_moon,The Sacred Mound,courtyard house,,,Courtyard house,A court with well shrine and palm.,sacred_mound,home_courtyard,comfortable,296.9,147.9,-24.0,11,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_courtyard
tablet_school_place,city_of_the_moon,The House of Tablets,the tablet school,,,The Tablet School,Tablet shelves clay bins and pupils' benches.,house_of_tablets,scribal_school,comfortable,302.6,112.9,-34.0,16,12,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv scribal_school
tablet_archive_place,city_of_the_moon,The House of Tablets,tablet archive,,,The Tablet Archive,Shelves of tablets behind a sealed door.,house_of_tablets,archive,civic,314.7,101.5,-42.5,12,9,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv archive
star_terrace_place,city_of_the_moon,The House of Tablets,the star terrace,,,The Star Terrace,A stepped roof platform with a gnomon.,house_of_tablets,star_terrace,civic,325.8,92.0,-50.0,12,12,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv star_terrace
scribes_house_place,city_of_the_moon,The House of Tablets,house,mudbrick_house_courtyard,lu_nanna_scribe,The Scribe's House,Home and workroom of the street's scribe; wet tablets dry in racks by the door.,house_of_tablets,home_courtyard,comfortable,333.4,80.0,-57.2,11,10,INVENTED,INVENTED (D-018); schedules.csv scribes_open_the_tablet_house
house_of_tablets_home_1_place,city_of_the_moon,The House of Tablets,courtyard house,,,Courtyard house,A court with well shrine and palm.,house_of_tablets,home_courtyard,comfortable,314.2,138.7,-32.0,11,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_courtyard
house_of_tablets_home_2_place,city_of_the_moon,The House of Tablets,courtyard house,,,Courtyard house,A court with well shrine and palm.,house_of_tablets,home_courtyard,comfortable,325.2,131.1,-37.5,11,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_courtyard
house_of_tablets_home_3_place,city_of_the_moon,The House of Tablets,courtyard house,,,Courtyard house,A court with well shrine and palm.,house_of_tablets,home_courtyard,comfortable,335.5,122.4,-43.0,11,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_courtyard
house_of_tablets_home_4_place,city_of_the_moon,The House of Tablets,courtyard house,,,Courtyard house,A court with well shrine and palm.,house_of_tablets,home_courtyard,comfortable,344.9,112.8,-48.5,11,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_courtyard
great_lighthouse_place,city_of_the_moon,The Lighthouse Horn,lighthouse,great_lighthouse,,The Great Lighthouse,The tower whose fire guides the ships of the sea lanes past the dark coast; the keeper takes harbor dues in barley and silver by weight at its foot.,lighthouse_horn,lighthouse,civic,447.7,-35.6,-105.0,14,14,INVENTED,INVENTED (D-018; D-020); buildings.csv great_lighthouse (CANON); schedules.csv lighthouse_harbor_watch;lighthouse_fire_through_night; wb §5; notes L52
sea_gate_place,city_of_the_moon,The Lighthouse Horn,the sea gate,,,The Sea Gate,A gate onto the quay with a customs table.,lighthouse_horn,sea_gate,civic,404.1,2.8,-96.0,10,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv sea_gate
keepers_house_place,city_of_the_moon,The Lighthouse Horn,lighthouse keepers' house,,,The Lighthouse Keepers' House,A fuel store of reed bundles and bitumen.,lighthouse_horn,keepers_house,modest,372.9,96.7,-60.0,9,7,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv keepers_house
enki_shrine_place,city_of_the_moon,The Lighthouse Horn,shrine of enki,,,The Shrine of Enki above the Sea,A water lord's shrine above the sea.,lighthouse_horn,cliff_shrine,sacred,376.9,88.3,-63.5,6,6,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv cliff_shrine
lighthouse_horn_home_1_place,city_of_the_moon,The Lighthouse Horn,modest house,,,Modest house,Plastered with a roof shelter.,lighthouse_horn,home_modest,modest,381.0,80.6,-66.8,8,7,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_modest
lighthouse_horn_home_2_place,city_of_the_moon,The Lighthouse Horn,modest house,,,Modest house,Plastered with a roof shelter.,lighthouse_horn,home_modest,modest,384.7,71.2,-70.5,8,7,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_modest
lighthouse_horn_home_3_place,city_of_the_moon,The Lighthouse Horn,modest house,,,Modest house,Plastered with a roof shelter.,lighthouse_horn,home_modest,modest,387.7,61.7,-74.2,8,7,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_modest
lighthouse_wharf_place,city_of_the_moon,The Lagoon Wharf,wharf,,,The Lighthouse Wharf,The quays below the Great Lighthouse where the fishing boats put out on the morning tide and outbound cargo is carried down for the evening tide.,lagoon_wharf,wharf,civic,342.2,60.8,-68.2,26,8,INVENTED,INVENTED (D-018; D-020); schedules.csv fishermen_morning_tide;dockworkers_outbound_cargo; quests.csv errand_for_the_caravan_master;a_share_of_the_sea_lanes (the lighthouse wharf); dialogues.csv arrival_captain_verdict (the dockside below the Great Lighthouse); notes L52
fish_market_place,city_of_the_moon,The Lagoon Wharf,fish market,,,The Fish Market,Fish on reed mats gulls and dogs waiting.,lagoon_wharf,fish_market,modest,348.1,40.5,-79.2,12,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv fish_market
customs_house_place,city_of_the_moon,The Lagoon Wharf,customs house,,,The Customs House,Sealed bales and a scribe at a table.,lagoon_wharf,customs_house,civic,350.3,26.7,-86.5,11,9,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv customs_house
warehouse_1_place,city_of_the_moon,The Lagoon Wharf,merchant warehouse,,,The Copper Warehouse,Sealed jars and bales stacked to the rafters.,lagoon_wharf,warehouse,comfortable,350.2,11.8,-94.2,14,9,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv warehouse
warehouse_2_place,city_of_the_moon,The Lagoon Wharf,merchant warehouse,,,The Grain and Oil Warehouse,Sealed jars and bales stacked to the rafters.,lagoon_wharf,warehouse,comfortable,347.8,-4.4,-102.8,14,9,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv warehouse
shipwright_place,city_of_the_moon,The Lagoon Wharf,shipwright's slip,,,The Shipwright's Slip,A slip into the lagoon with reed boats and bitumen pots.,lagoon_wharf,boatyard,modest,348.3,82.5,-60.0,16,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv boatyard
divers_hut_1_place,city_of_the_moon,The Lagoon Wharf,sea-gem divers' hut,,,A Sea-Gem Diver's Hut,Reed hut with baskets of shells and sea gems.,lagoon_wharf,divers_hut,poor,356.5,71.9,-66.0,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv divers_hut
divers_hut_2_place,city_of_the_moon,The Lagoon Wharf,sea-gem divers' hut,,,A Sea-Gem Diver's Hut,Reed hut with baskets of shells and sea gems.,lagoon_wharf,divers_hut,poor,359.4,64.7,-69.5,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv divers_hut
divers_hut_3_place,city_of_the_moon,The Lagoon Wharf,sea-gem divers' hut,,,A Sea-Gem Diver's Hut,Reed hut with baskets of shells and sea gems.,lagoon_wharf,divers_hut,poor,361.9,57.3,-73.0,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv divers_hut
lagoon_wharf_home_1_place,city_of_the_moon,The Lagoon Wharf,merchant house,,,Merchant house,A cedar gallery painted door and storerooms.,lagoon_wharf,home_merchant,comfortable,361.9,45.4,-78.2,13,11,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_merchant
lagoon_wharf_home_2_place,city_of_the_moon,The Lagoon Wharf,merchant house,,,Merchant house,A cedar gallery painted door and storerooms.,lagoon_wharf,home_merchant,comfortable,364.1,30.3,-85.2,13,11,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_merchant
lagoon_wharf_home_3_place,city_of_the_moon,The Lagoon Wharf,merchant house,,,Merchant house,A cedar gallery painted door and storerooms.,lagoon_wharf,home_merchant,comfortable,364.4,15.1,-92.2,13,11,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_merchant
lagoon_wharf_home_4_place,city_of_the_moon,The Lagoon Wharf,merchant house,,,Merchant house,A cedar gallery painted door and storerooms.,lagoon_wharf,home_merchant,comfortable,362.9,-0.0,-99.2,13,11,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_merchant
council_hall_place,city_of_the_moon,The Prophet's Court,the prophet's council hall,,,The Prophet's Council Hall,A painted-palm-column hall and a throne dais.,prophets_court,council_hall,elite,115.6,119.0,51.5,24,18,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv council_hall
envoys_house_place,city_of_the_moon,The Prophet's Court,envoys' house,,,The Envoys' House,Guest rooms for the southern city-states' envoys.,prophets_court,envoys_house,comfortable,132.3,131.5,44.0,12,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv envoys_house
rebel_barracks_place,city_of_the_moon,The Prophet's Court,rebel barracks and yard,,,The Rebel Barracks and Yard,A training yard spear racks and banners.,prophets_court,rebel_barracks,modest,145.0,143.8,37.5,18,12,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv rebel_barracks
imperial_offices_place,city_of_the_moon,The Prophet's Court,old imperial offices,,,The Old Imperial Offices,Half abandoned half looted.,prophets_court,imperial_offices,comfortable,79.0,137.0,54.0,14,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv imperial_offices
hearing_court_place,city_of_the_moon,The Prophet's Court,hearing court and holding room,,,The Hearing Court,A judges' bench and a barred holding room.,prophets_court,hearing_court,civic,89.2,149.9,49.2,14,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv hearing_court
prophets_court_home_1_place,city_of_the_moon,The Prophet's Court,elite house,,,Elite house,Fired-brick plinth whitewash or cone mosaic and a garden.,prophets_court,home_elite,elite,102.5,161.1,44.2,16,14,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_elite
