id,role,hour,task,season,tag,source_ref,festival,shift
baker_fires_the_oven,baker,3,fires the oven in the dark and kneads the first dough; the first loaves come out at sunrise,,INVENTED,INVENTED (D-012 authored glue)
gatekeeper_harvest_long_count,gatekeeper,6,counts a longer line of harvest carts through the gate before the sun is fully up,harvest,INVENTED,INVENTED (D-018); seasons.csv harvest
new_waters_priest_offering,priest of the moon,6,leads the first-portion offering to the deities of salt and fresh water as New Waters opens the rains,,INVENTED,"INVENTED (D-018); city-life §5 (ritual roles by rank and calling); festivals.csv new_waters; customs.csv first_portion_to_the_gods",new_waters,
new_waters_baker_festival_loaves,baker,3,bakes extra loaves before dawn for the New Waters feast tables,,INVENTED,INVENTED (D-018); festivals.csv new_waters,new_waters,
new_waters_household_feast,household,19,the evening meal swells into a feast for New Waters; the first portion is set out before any mouth eats,,INVENTED,"INVENTED (D-018); city-life §5 (festivals are the city at its most alive); festivals.csv new_waters",new_waters,
first_cutting_gate_watch_doubled,gatekeeper,6,the watch is doubled at the gate as the First-Cutting procession forms and the crowds press through,,INVENTED,"INVENTED (D-018); city-life §5 (guard patrols rise with festival crowds); festivals.csv first_cutting_procession; events.csv festival_pickpockets",first_cutting_procession,
first_cutting_priest_procession,priest of the moon,7,"leads the procession from the temple of sun and moon, carrying the first-cut sheaves through the streets",,INVENTED,"INVENTED (D-018); festivals.csv first_cutting_procession; buildings.csv temple_of_sun_and_moon",first_cutting_procession,
first_cutting_watchman_crowd_patrol,watchman,9,leaves the wall to walk the procession's crowds; purses are cut in the press and the watch works the packed streets,,INVENTED,"INVENTED (D-018); city-life §5; festivals.csv first_cutting_procession; events.csv festival_pickpockets",first_cutting_procession,
first_cutting_market_festival_crowds,market trader,8,sets out stalls early for the procession crowds and watches his goods closer than any market morning,,INVENTED,INVENTED (D-018); festivals.csv first_cutting_procession,first_cutting_procession,
ishtars_torch_priest_rite,priest of the moon,19,leads the morning-star rite for Ishtar as the tribute basket is presented,,INVENTED,"INVENTED (D-018); festivals.csv ishtars_torch; D-016 tribute basket",ishtars_torch,
ishtars_torch_tavern_crowd,tavern keeper,18,opens early and pours through the night for Ishtar's Torch; the tavern room is packed to the door,,INVENTED,INVENTED (D-018); festivals.csv ishtars_torch,ishtars_torch,
ishtars_torch_household_feast,household,19,the household feasts for Ishtar's Torch; gifts are carried between houses,,INVENTED,"INVENTED (D-018); festivals.csv ishtars_torch; wb §8.3 (Venus: the binding of hearts)",ishtars_torch,
feeding_of_the_dead_household_kispum,household,12,the kispum feast is laid out at midday for the ancestors; their names are spoken and water poured for them,,INVENTED,"INVENTED (D-018); festivals.csv feeding_of_the_dead; customs.csv kispum_feeding_the_dead",feeding_of_the_dead,
feeding_of_the_dead_cookshop_serves,cook-shop keeper,12,serves the kispum meal to households who cook for their dead at the cook-shop's ovens,,INVENTED,INVENTED (D-018); festivals.csv feeding_of_the_dead,feeding_of_the_dead,
feeding_of_the_dead_watchman_quiet,watchman,21,patrols quieter streets; the city keeps to its houses and its dead on Feeding of the Dead,,INVENTED,INVENTED (D-018); festivals.csv feeding_of_the_dead,feeding_of_the_dead,
