id,name,calling,skill,effect,min_level,min_skill,tag,source_ref
sea_reckoner,Sea reckoner,sea_trader,sailing,skill_bonus:sailing:10,15,20,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv sea_trader; skills.csv sailing"
fair_hand,A fair hand,scribe,scribal_arts,skill_bonus:scribal_arts:10;study_bp:2500,5,40,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv scribe; skills.csv scribal_arts"
sexagesimal_mind,The sexagesimal mind,tablet_house_master,reckoning,skill_bonus:reckoning:10,15,40,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv tablet_house_master; skills.csv reckoning"
rope_and_stake,Rope and stake,field_surveyor,farming,skill_bonus:farming:10,15,30,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv field_surveyor; skills.csv farming"
true_names,True names,priest,rites,skill_bonus:rites:10;rite_favour_bp:5000,5,40,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv priest; skills.csv rites"
flour_circle,The flour circle,exorcist,incantation,skill_bonus:incantation:10,15,40,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv exorcist; skills.csv incantation"
watcher_of_the_liver,Watcher of the liver,diviner,divination,skill_bonus:divination:10,15,40,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv diviner; skills.csv divination"
voice_of_the_lament,Voice of the lament,lector_priest,rites,growth_bp:rites:5000;rite_favour_bp:2500,15,30,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv lector_priest; skills.csv rites"
bandage_and_spell,Bandage and spell,healer,medicine,skill_bonus:medicine:10,5,35,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv healer; skills.csv medicine"
clean_hands,Clean hands,physician,medicine,skill_bonus:medicine:5;wage_bp:1000,15,45,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv physician; skills.csv medicine"
herb_wife,Herb-wife,old_woman,medicine,growth_bp:medicine:5000,15,30,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv old_woman; skills.csv medicine"
rain_reader,Rain reader,husbandman,farming,skill_bonus:farming:10,5,30,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv husbandman; skills.csv farming"
herd_sense,Herd sense,herdsman,herding,skill_bonus:herding:10,15,20,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv herdsman; skills.csv herding"
tide_sense,Tide sense,fisherman,fishing,skill_bonus:fishing:10,15,20,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv fisherman; skills.csv fishing"
