id,speaker,context,text,tag,source_ref
pull_stranger_no_name_flood,a robed stranger,"the outer court of the temple of sun and moon, night; the same voice, without a face the prisoner can keep","You asked the priests for the age of the world and they gave you the reign of kings. Ask instead about the flood — the true one, before kings, when the lord of water and wisdom looked down and found men unworthy. The old order keeps that ledger, and one day you will be brought to read it. Then we will see whether you laugh or weep.",INVENTED,"INVENTED glue serving story.csv:act_i, foreshadowing story.csv:act_ii (the mysterious cult); wb §1;§2; notes L5;L23;L24"
pull_southern_pilgrim_question,a southern pilgrim,"the harbour taverns at evening; a newcomer with a southern accent, asking at every bench","You there — you came off the sea lanes. Is it true the Prophet is at the temple of sun and moon — they say he is not always here? In the south they say the sage of the swamps has come up out of the marshes at last, that he will stand in the temple of sun and moon and speak. I have walked from the reed country for one word of it. One word, and I carry it home to my people.",INVENTED,INVENTED glue serving story.csv:act_i (the south organises under the sage of the swamps); wb §4.2; notes L19;L52
pull_southern_pilgrim_promise,a southern pilgrim,"the harbour taverns, later the same night; he has drunk enough to forget who might be listening","Four things the Prophet promises, and I will say them loudly: the city states joined under one hand, the easterners driven back over their mountains, rain in the sky and barley in the furrow, and the old tongue lifted out of its grave. Half of that would leave the Empire a sandbank at ebb. All of it, and the world begins again.",INVENTED,INVENTED glue serving story.csv:act_i (the south organises under the sage of the swamps); wb §4.2; notes L19
pull_old_dockhand_caution,an old dockhand,"the harbour taverns, quietly, to the prisoner alone","Drink, and name the Prophet the way you would name a debt — under the breath. The garrison still flies the Empire's standard over the citadel, and its captain hears what the harbour says. Half this city prays for the south; the other half is paid to notice. You are new here. Be nobody for a while. Nobody lives long here.",INVENTED,INVENTED glue serving story.csv:act_i; wb §4.2; notes L19 (the Empire of the north replaced their former kings)
web_lender_ledger_silver,a creditor's ledger-keeper,the counting-room behind the lighthouse wharf at the weighing of the day's silver; tablet shelves at his back and the scales never quite still,"There is no stamp on silver in this city — silver has weight, and the weights do not lie unless the hand lies. Five grains out; one grain more at the year's turn. Barley borrows dearer, a third part, because barley can grow or drown. Every loan is a tablet under two seals, and the tablet outlives the men it binds. The drought does not excuse a debt; it only fills the shelves. A stranger pledges what he carries; a householder borrows on his name. Get yourself a name.",INVENTED,INVENTED glue serving story.csv:act_ii (do business); game-design §5.3 (loans at the traditional rates — rpg-systems §5); D-011 (silver weighed in grains); notes L104 (the drought that is breaking the world)
web_freed_debtor,a freed debtor,the brewery steps at evening; a man who has worked his debt tablet to its end and carries the shell of it folded in his belt,"Three years I carried another man's grain-debt on my back — my days were his days and my bread was counted at his table, and the tablet slept in the lender's storehouse like a second wife. The low river made debtors of half this quarter; the barley of the last harvest made free men of a few of us, and not the ones the quarter guessed. Guard your name on the tablets, friend. Silver can be lent again. A man's years do not come back to the shelf.",INVENTED,INVENTED glue serving story.csv:act_ii (do business); game-design §5.3 (loans); rpg-systems §5.4 (debt-bondage is real and never a reward); notes L104 (the drought that is breaking the world)
web_kiln_master_margins,a kiln-master of the potters' lane,"the potters' lane at mid-morning, fuel stacked high against the drought while the kiln takes its first heat of the day","A kiln eats. Fuel first, then bread for the hands, then silver-grains for the tally-clerk and the gate. In the rains a house banks surplus; in this drought a house banks debts, and debts burn hotter than anything I fire. Still — cut, press, fire, sell. The wheel does not care what the sky is doing, and that is the mercy of work. Keep a workshop turning through the breaking and you will own half this lane when the rains remember us — if they remember us.",INVENTED,INVENTED glue serving story.csv:act_ii (do business; the drought deepens); game-design §5.3 (workshops — rpg-systems §5); D-015 (the seasons); notes L104
web_ship_share_broker,a ship-share broker,the lighthouse wharf where the southern boats are fitted out; share-tokens changing hands over a jar of beer,"A share is a plank of a boat that is yours whether the boat comes home or not. Copper out of the southern waters; the goods of the south coming up the sea lanes; the city grows fat on that water, and men like me grow fat beside it. But hear the whole of the bargain: the sea takes its share of every hull — in storms, and in what men do to each other out past the light. Never stake to a boat more than you can stand on the quay and watch leave. The wharf remembers every man who learned that late.",INVENTED,INVENTED glue serving story.csv:act_ii (do business); game-design §5.3 (ship shares; caravan partnerships — rpg-systems §5); notes L52 (direct access to the sea trade routes; the Great Lighthouse)
envoy_warchief_price,an envoy of the mighty warchief,a back room of the harbour beerhouse between caravans; the envoy drinks little and names no price until the door is barred,"My lord of the Warrior Spirit does not send threats. He sends prices. The mountains are emptying westward and the herds follow the emptiness; the tribes are hungry, and hungry tribes do not send an envoy twice. Grain in the passes and tin on the road, and the drovers walk past your walls and not through them. Refuse, and the road speaks in smoke. Understand what you are bargaining with before you bargain: there is no crown among us and no single king to buy — there are the strong, and the councils the strong sit in, and my lord is what holds them this season. This season. That is the length of any promise out of the east.",INVENTED,INVENTED glue serving story.csv:act_ii (forge alliances); wb §4.3;§5; notes L20;L21 (tribal and scattered; bound loosely by survival; new lands in the west); L56 (the mighty warchief of the City of the Warrior Spirit — his name stays OPEN)
rebel_liberty_question,a rebel of the south,"the harbour taverns after the watch changes; the question goes bench to bench, quieter than the beer","One question, stranger, and I will leave you to your drink: what is liberty worth in a breaking land? The Empire took our kings and set its governors in their seats; the drought has taken everything the Empire left. Men say liberty the way they say bread. It is not bread. It is the field — and a field does not plough itself. The south is ploughing. When the breaking finishes with this Empire, as it will finish, you will want to remember which side of the furrow you stood on. Answer me by what you do, not by what you say. Everyone in this room says well.",INVENTED,INVENTED glue serving story.csv:act_ii (contact with the rebels); wb §4.2; notes L15 (the south tears up the empire with patriotism and liberty); L19
rebel_alliance_rider,a rider of the southern alliance,the courtyard of a trading house at dusk; a road-worn rider going city state to city state with a sealed token inside his cloak,"Tokens, not letters. Letters can be read off a man when he is taken; a token is only clay until the right hand holds it. I run the river road from city state to city state and I carry nothing that can be tortured out of me, because I do not know what it says. There are houses in every city now that will hold a door open for the south. What the alliance asks of its friends is small at first: a granary that counts as a warehouse; a boat that counts as a ferry; a ledger that forgets one name. The Empire counts spears. We count doors. Doors win longer wars.",INVENTED,INVENTED glue serving story.csv:act_ii (contact with the rebels; alliance errands); wb §4.2;§5 (the rebellious alliance of southern city states); notes L19;L52
steward_festival_reaping,the steward of the temple of sun and moon,"the outer court of the temple of sun and moon on the eve of the reaping, when the first sheaves come up the steps; the first sheaves of the harvest coming up the steps","The reaping is kept even in a broken year — that is what keeping means. The first sheaf is the god's and the first pouring is the god's; the city eats after the gods have eaten. This year the sheaves come up the steps thinner and the crowd beneath them is thicker, and both of those are answers if you can read a procession. Sun and moon see the counting. Stand with the city and watch. The festival is the year telling itself: we are still here; the river will be remembered; the barley will be sown again. Say it loudly enough and the sky may answer.",INVENTED,INVENTED glue serving story.csv:act_ii; wb §5 (the temple of sun and moon); notes L52;L57 (growing and reaping their fields of wheats and barley); D-015 (the harvest season); customs:first_portion_to_the_gods (the first portion is the god's)
courier_second_seen,a veiled courier,"the door of the room the prisoner keeps in the skiffwrights' lane, the night after the last of the season's dealings; the second time the veil has come to him, and this time nothing is asked of him","You were seen. Not by the watch, and not by me — I only carry. Two seasons this city has watched you work, and both times the work was worth the watching. That is the whole of the message. Keep no token of it; expect no thanks; go on working as if nothing had happened — for you, nothing has. If a day comes when you stand face to face with what noticed you, you will not need to ask whose eyes they were. You will already be looking into them.",INVENTED,INVENTED glue serving story.csv:act_ii (contact with the mysterious cult — the Brotherhood's second noticing; the order itself stays hidden); wb §2 (hidden; working in the background; met only by the worthy); notes L5;L26
drowned_sailor_plumed_serpent,a drowned sailor,"the harbour steps at first light, wrapped in a boatman's coat — pulled from the fishing water drowned past saving by every count but the breath's; his boat went down in the southern lanes","The sea is a road, and I have sailed it past its last landmark. Over the ocean there is a great country, named for a plumed serpent — after the very mystery traditions, the old men of the trade say, though none of them can say what the traditions were. The first men of that country came over the water too, from a shore older than any shore now living, and their ruins stand in the deep woods with no one left to name them. I saw one from the mast once: a stone head with feathers carved on it, looking east, as if it waited for boats. The sea did not want me to carry this tale. Here I am carrying it. Make of that what a drowned man's word is worth.",INVENTED,INVENTED glue serving story.csv:act_ii (the web opens toward the wider world); wb §9 (the wider world); notes L146 (a continent settled by the Atlanteans; named after a plumed serpent after the very mystery traditions; home to ruins of an ancient people)
prophet_four_promises,the Prophet,"the court of the temple of sun and moon at night, after the reaping is weighed and the first pouring is done, before a small ring of temple keepers and strangers; he speaks once and does not come again","Four things only, and then I give you back your silence. The city states will be one hand. The easterners will return over their mountains, or they will not return. The rain will find its old road down to the river, and the broken land will close. And the old tongue will come up out of its grave with the barley. There is nothing else to say tonight. The rest is countable — seals, spears, sheaves, seasons — and the counting has begun.",INVENTED,INVENTED glue serving story.csv:act_ii (the rebellion's pull — the south organised under the sage of the swamps); wb §4.2;§5 (the enigmatic Prophet of the City of the Moon); notes L19 (unite the city states; push back the invading barbarians; fix the drought and the shattering of the land; a new age of bounty and a rebirth of Sumerian culture) — the four promises and nothing more
whisper_colonnade_deepens,an old diviner of the temple colonnade,"the colonnade of the temple of sun and moon at noon, among the diviners' stalls; he speaks without looking up from his casting-lots","I read lots for bread and I hear everything else for nothing. This season the questions have changed their shape. Men no longer ask me when the rain returns; they ask what stood in this city before kings stood in it, and who counted the years before there were kings to count them. Someone is feeding those questions to the harbour, and doing it gently. I have read the flight of birds for forty years, and I will give you one reading free: there are things at work in this world the way the worm is at work in a plank — you see nothing until the plank fails. I name no one. Neither should you. The man who names them becomes the plank.",INVENTED,INVENTED glue serving story.csv:act_ii (the mysterious cult — the whispers deepen; the order itself stays hidden); wb §2 (hidden; working in the background); notes L5;L24;L25; events:serpent_rumours
breaking_crier_eastern_wall,a conscription crier of the City of the Moon,the market square before the moon gate at first light; the crier of the imperial levy reads the Empire's demand from a sealed tablet; he has read it before and will read it again,"Hear the demand of the Empire, and answer it with your houses, not with your mouths. The eastern wall asks for sons. Every house that holds its land of the palace sends one son by the next new moon; every house that holds none sends barley by the measure posted on the gate. The levy is fed from the imperial stores while it serves, and the names are written on the tablet that goes east, and the writing does not come back. The drought is a grief, and it is not a reason the Empire hears. The tablet is sealed. I read it as it stands.",INVENTED,INVENTED glue serving story.csv:act_iii (raids and rebellion; the Empire's hold about to break); wb §4.1 (foreigners from the east raid the cities; the dynasty's hold about to break); notes L15;L21; ranks.csv:rank_3 (the palace dependant holds land for service — the tribute principle made personal); D-015
breaking_mourner_the_leaving,a wailing mourner of the river quarter,"the gate square as the levy column forms at dawn; she stands hired at the edge of it, dry-eyed until the trade takes her","I am hired for the dead, and this season I am hired for the leaving. This morning I sang the lament over forty living sons — the same words we sing over the dead, because a levy that walks east is a death that walks slowly. Their mothers would not tear their garments; a garment torn for a living son is a taunt, so they stood on their hands and let me do the weeping they are owed. The wall will send them back as dust or as strangers, and I am hired for both. Mine is the only trade in this city that the breaking has made busy.",INVENTED,INVENTED glue serving story.csv:act_iii (raids and rebellion); customs:mourning_wailing_laments (the dead are mourned aloud — lamentation priests and wailing mourners); wb §4.1; notes L15
breaking_grandmother_from_the_east,an eastern refugee grandmother,"the counting-sheds behind the moon gate where the eastern households are listed; she sits with her grandson between her knees and tells it once, quietly","We did not flee men. We fled what gripped them. In the high valleys we were herders, all of us — my fathers drove cattle before the mountains had names, and the raiders' fathers drove cattle beside ours, and we quarrelled about grass the way neighbours quarrel. Then a new thought came down the passes. The men who carried it stopped counting cattle and began counting cities, and where it walked the herds walked ahead of it. What the raiders left of us: empty roofs, and the trough. I carried the trough. I cannot tell you what the new thought is, because my own sons do not have words for it either. I only know it moves west, and now we are all west of it.",INVENTED,INVENTED glue serving story.csv:act_iii (raids and rebellion); wb §4.3 (cattle nomads turned warrior people by a new form of thought; tribal and scattered; new lands in the west); notes L20-21; events:eastern_refugees_at_the_gates
breaking_gate_sergeant_custom,the sergeant of the moon gate,"the moon gate at the morning bread, where the watch serves the gate-loaves to the camped households and counts them in and out","The custom of the river lands says a traveller at the gate eats bread and water before any question is asked, and it is the proudest thing this city owns, so we keep it. I weigh the loaves myself now. Two hundred souls slept on the flats last night, and the night before there were more, and the bin that stands behind the custom has a bottom — I have seen it. I no longer ask the questions the custom puts after the bread, because the bread gives out before the questions do. Hospitality is a field, not a feeling. Somebody has to plough it, and the gate has nothing left to plough with.",INVENTED,INVENTED glue serving story.csv:act_iii (the raids drive the eastern households to the gates); customs:hospitality_bread_water (bread and water before questions); events:eastern_refugees_at_the_gates; wb §4.1; notes L15
breaking_retributor_of_utu,a Retributor of Utu,"the river road below the moon gate at noon; a paladin of the sun resting in the shade of the gate tower, road dust on his guild mark, not kind about it","You want to know why the sun's retribution has not come to your burned villages. I will tell you plainly — a paladin who lies is a shadow. The sun sees every wrong done under it; nothing is hidden from that light, not one thing, not ever. But seeing is heaven's part. Answering is ours, and we are men, and men ride one road at a time. The guild rode out of the City of the Sun in strength when the breaking began. Half of us stand where cities pay us to stand; half ride the passes; and the passes multiply faster than paladins. A village waits for us and we are two days east of it, and two days is how long it takes a village to burn. I do not excuse the arithmetic. I only carry it. The sun is patient. We are what patience has for hands.",INVENTED,INVENTED glue serving story.csv:act_iii (raids; the Empire's hold about to break); wb §5 (the Retributors of Utu — guild of paladins headquartered at the City of the Sun); deities.csv:utu (the sun); notes L50;L71
breaking_tribute_clerk_basket,a clerk of the imperial tribute,"the courtyard of the tribute office by the harbour, where the baskets stand open for the seal before they go north; he counts under his breath even while speaking","The basket does not fast. Gems, fruits, and the white bottle — weighed, sealed, and gone north, while the city's own granary counts its floor. I have served the tribute fourteen years and I will tell you what has changed: it was a duty and it has become a stripping. The assessors come twice in a season now. The city petitions and the capital answers with the same tablet resealed, as if a seal were water. Even the white bottle must not come short — and do not ask me what is in it; no clerk below the Sukkals is ever told. An empire that eats its own provinces while the provinces starve is not being fed. It is being counted down. I write the tablets. I know what the columns do.",INVENTED,"INVENTED glue serving story.csv:act_iii (the Empire's hold about to break); wb §4.1 (conquest for tribute and gold in honor of the lady of the skies); items:tribute_gems;tribute_fruits;tribute_white_liquid (D-016 — the tribute basket: gems, fruits, a bottle of a strange white liquid); notes L15;L104; D-015 (the Sukkal rank)"
breaking_granary_keepers_thumb,a granary keeper of the temple stores,"the temple granaries at the morning measure, when the day's ration is drawn under the tally-clerk's eye","Twice a day I measure the bins, and twice a day the measure comes up short of yesterday. A thumb off the ration, they said at the start — a thumb is nothing. Then the thumb was a fist. The hoarders hold their barley back behind the market and the temple releases against them, and the two of us drain the same pool from opposite banks. I keep the tally of the city's bread, so hear what the tally says: the bottom of the bins is in sight. Not this month. Not tomorrow. In sight. The reaping bought us a season of standing further from it, and we have spent that season standing still. I pray the second counting is wrong. I have prayed it before work every day, and I count anyway.",INVENTED,INVENTED glue serving story.csv:act_iii (the Empire's hold about to break); items:drought_ration_measure (the ration machinery); events:grain_hoard_price_surge; D-011 (the drought stages drive the price model); wb §4.1; notes L104
breaking_priestess_thin_shrine,a priestess of the lady of the skies,"the garrison shrine of the lady of the skies at evening, when the evening pour is made; the benches that held the garrison's families stand mostly bare","The evening pour is made. I make it whether the benches are full or bare — that is what a priestess is. But look at the benches. The the garrison's families who crowded this shrine in my first year come now at a walk, if they come at all. The incense is bought by the pinch. Men drop barley in the dish where they once weighed out silver grains, and the taverns say worse of her each season, and say it louder, and I hear who says it. Hear me plainly: in twenty years of service I have never seen her do the things her enemies say of her. I have not always seen her do the things her friends say either. She is owed, and she is not being paid, and a priestess feels a god's attention the way skin feels frost. Whatever is unknotting the fear of her in this city, it does not hurry, and it does not leave footprints. I light the lamp anyway.",INVENTED,"INVENTED glue serving story.csv:act_iii (the player's work against the Empire and the worship of the demonic entity bears fruit — shown from the god's own house, unconfirmed per D-004); wb §4.1;§6 (the lady of the skies is Ishtar); deities:inanna; notes L15;L104"
breaking_herald_terms_read,a herald of the eastern alliance,"the bare ground before the moon gate, out past the archers' mark; a herald of the easterners stands under a truce branch and reads the tablet aloud for the third time that day","I read as I am made to read. The council of the eastern roads — the strong, who sit together because no one of them is king — has set its marks on this tablet, and the mark of the lord of the Warrior Spirit stands first among them. The terms: the pastures west of the river for our herds while the grass lasts. Grain by the settled measure, laid at this gate each season and weighed by our own hands. The passes open to our drovers both ways. Give these, and the herds walk past your walls and not through them. Refuse, and the council does not promise fire — the council promises nothing at all, and the fire follows the nothing. I am not a threat. I am a tablet that walks. The city answers when the grass yellows, or the city is answered.",INVENTED,INVENTED glue serving story.csv:act_iii (raids and rebellion); wb §4.3 (tribal and scattered; bound loosely by survival; new lands in the west); notes L21;L36 (no single king — only the strong and the council of warlords); people.csv:the_warchief (referenced by title only; his name stays OPEN); factions:eastern_barbarian_alliance
breaking_levyman_from_the_south,a levy-man of the southern alliance,"the near bank across the river at dusk, where the southern levy drinks its beer ration and watches the city lights; a boatman's son with reed-cutter's hands","Third season in the levy. I trim reeds and I hold a spear, and the drill-master says one is as useful as the other. At the first mustering I stood in, the men asked each other what we were. Nobody asks now. The Empire took our kings and its drought has taken our barley, and there is nothing left in the south for it to take but us — and it is finding we are the expensive thing. I will not stand here and tell you we win. I was at the ferry crossing. I know what the counting looks like after. But the Empire writes the same men on its levy tablets twice now, its garrisons shrink while our drill fields grow, and every harvest the arithmetic comes a little further over the river to our side. We do not speak of after. After is a country you reach by walking.",INVENTED,INVENTED glue serving story.csv:act_iii (raids and rebellion); wb §4.2; events:southern_levy_mustered; notes L15 (the south tears up the empire with patriotism and liberty);L19
breaking_brewmaster_vintage,the brewmaster of the beerhouse lane,"the brew-house of the beerhouse lane at the reckoning of the vintage; he speaks across the cooling vats to his partner, the tally-tablet already in his hand","Partner — bring your seal and we will count the days together, because I have been counting them alone. Grain at famine price, beer at the old price, drinkers drinking less of both. A jar of this brew now sells for less than the jar it stands in; the potters are richer than the brewers, and the potters are starving. I have thinned the mash, stretched the vat, paid the gate with the silver I was keeping for my daughter's dowry, and the tablet still reads against us. Forty days I have counted since the reckoning, and I will count forty more. But hold this one thing with me: the first pouring still goes to the god, thin as it is, on every brew this house makes. While the house pours first, it is still a house. That is not hope. It is a rule — and rules are what a man counts on.",INVENTED,INVENTED glue serving story.csv:act_iii (the weakening — the city feels it); quests:the_beerhouse_partnership (act_ii — the brew-house partnership; the first profit reckoned at the vintage); D-015 (the vintage season); customs:first_portion_to_the_gods (the first pouring of every brew is the god's); items:beer; notes L104
breaking_child_sky_angry,a child of the skiffwrights' lane,"the skiffwrights' lane at dusk, running beside the water-cart's last round; he puts his question to anyone who will walk at his speed","Is the sky angry? My grandmother says the sky forgot the road down to the river. My mother says the sky is busy counting and has no time for the lane. The priestess says the sky sees everything and is very patient. I am not patient, and the barley came up thin as hair, and the well in our lane went bitter, and the levy took the boy who used to lift the jars. If the sky is angry, then somebody made it angry, and I said sorry at the shrine — but nobody will tell a child which thing it was we did. And if the sky is not angry, then it is something else instead, and nobody will tell me that either.",INVENTED,"INVENTED glue serving story.csv:act_iii (the drought plainly, at its worst); wb §4.1; notes L104 (the great drought that engulfs the lands); quests:the_well_under_the_moon_gate (the lane's well going brackish); echoes dialogues:texture_water_carrier_tally"
